Date,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,XK
2007-01-01 00:00:00,991.7570501828809,4580.3962592503685,897.212961208784,7262.539070621513,3816.5900182785435,5725.0,4849.66390093072,45264.923640577705,1996.7766300769758,546.4125743980251,23670.2243822295,6678.522502639609,43931.922666100756,21550.48457722988,2587.556118693268,1407.0549762701812,3318.6508600972493,1367.9890095385492,17705.071121485355,703.2882134637576,448.6859409289184,349.0279169767023,521.7415884523814,938.7205593309064,9332.474261971562,9455.61109346995,11181.181086998999,4460.232833180447,5400.267849291549,4630.782608902907,8688.112364810178,934.3414220884622,2335.218584234288,860.4566822967173
2007-01-01 01:00:00,929.5630536954814,4267.903207362486,810.5518390503819,6687.286971605335,3638.913340067864,5644.0,4602.882051909492,43561.93721721066,1945.7347332310155,529.9613316265766,21711.339920435443,6416.33378693311,41167.27788127452,20857.51941156618,2059.560223600756,1277.1869426201247,3142.1842311176997,1116.7698360400389,16106.9219665655,688.299961574932,432.89404992024004,349.09825065218746,491.0272454630712,855.7629983924071,8653.958717153835,9241.791853193554,10556.120761512604,4122.621258529942,5273.650073895232,4353.141964964136,8619.19634442649,874.4470492954258,2148.827379118694,813.27165070984
2007-01-01 02:00:00,872.196767753931,3777.6863467598187,727.133404341568,6136.2473148853405,3351.036466564856,5538.0,4328.137428742476,42104.93076211279,1893.2695483036161,498.95411312864906,19567.568082830236,5931.227923247323,36957.29695501138,20236.916711777303,1238.1114196287308,1163.4961298109927,2696.34345374851,884.3767334364634,14339.134615996156,686.1973847482476,381.7039577553553,329.5855059196884,463.8943534440525,778.939873958612,7895.254734944183,8808.540521004765,10210.06095692187,3794.7315944623624,5206.682285087509,3975.5890087917246,8220.657023845899,814.8386320892789,2031.350000984224,750.136248889394
2007-01-01 03:00:00,810.1130599898178,3366.8864377150276,621.4915517525218,5674.723280093028,2935.7434281233236,5455.0,4136.359310266251,41238.17349160566,1843.6218234600901,477.8691192997264,17375.170214255588,5375.492221005129,32319.328456378156,19099.749734343677,299.05282203657225,1049.889591143913,2331.165688665027,666.5377164772663,12699.063604497065,720.4932417977011,365.171132794213,357.9457498119949,436.9140455387919,701.4811405479245,7244.014281862342,7618.454449764634,9626.754682110788,3430.121882313605,5039.528672769639,3560.1379972938134,7195.570126811714,754.5751610196346,1836.1871863364995,683.9686317247069
2007-01-01 04:00:00,739.9222019256063,2987.9230709560384,504.52694025485755,5350.16841026857,2844.2875671646198,5356.0,3616.00288093412,39957.07522140194,1907.5315839414457,542.8533649764668,15136.428488040629,5888.514119588774,27924.898579995774,16565.11060638081,61.83923050052181,961.877163106491,2057.3265094163526,277.84374753481075,11667.187979264027,898.3342247318965,326.2570555690136,475.19101953827465,407.39386380828796,627.4526793757943,6856.160154122925,5789.152489748076,9327.31504246971,3143.479006720175,5134.5208409314855,3166.5118107933154,5706.619637042668,714.8874886252038,1548.2707002652505,622.7050471270352
2007-01-01 05:00:00,731.9761374040311,2678.468327554344,489.26129543871684,5281.966330884796,2721.7573013662586,5127.0,3544.3330793475816,37362.568598253376,2435.4824270609565,670.8838023389135,14192.03208225817,6432.408367395918,26649.952782097604,14654.69236789766,132.29791918714363,959.674814604436,2020.997066822988,-168.58414418848997,11822.855060725922,1085.4886639196916,271.54601517599383,604.8827325061446,405.12892307171325,605.3119356959113,6963.361109388528,6202.568194242725,9337.809492570865,2854.6020049424956,4995.7939051365365,2983.128637421549,6565.1667264359,736.0314379035483,1522.6878250821962,592.8340251875503
2007-01-01 06:00:00,758.4339852479012,2935.2104922905796,492.3430616738965,5055.528271939108,2692.469921639654,5038.0,3435.2220588674363,37702.8079545811,3100.77886104962,764.5225405825024,13431.966818780766,6815.128203750481,27652.933728570366,18250.066949349195,379.8090312125132,948.8890758211414,2019.265193170576,-131.60255927244816,12073.336372272448,1219.288882799836,301.2523069811863,659.9446244947528,417.33682655520573,614.5413796069049,7242.654460367349,7955.787884348798,8947.81117987503,2758.416433136082,4434.207927264553,3045.6741413110376,8347.96166114871,768.9392836008309,1477.501614134001,602.0886599014151
2007-01-01 07:00:00,821.0554716429815,3212.899955089655,542.2968249290036,5142.465018883799,2826.296126995514,4972.0,3840.018590205169,38335.482111546946,3322.6182633009157,785.6998255667534,13106.39972393263,6780.504820084949,27899.09232988267,23914.072682162157,935.040282270108,1013.2738048605852,2073.635417463239,275.2206767277562,13944.38893367518,1256.514756471097,318.61185467838015,689.1020707834864,447.4271956851806,677.8695898713773,7625.551487407171,8796.859536813412,9160.111279945591,2705.980504327951,4386.331932473196,3310.2734733392954,9027.897368434147,796.6231317229415,1664.2022703386986,645.7692056273947
2007-01-01 08:00:00,887.778937715004,3681.3346388175614,666.0702135933507,5323.130424853158,2992.327640660353,5116.0,4104.815903264953,40655.94205496513,3339.6307910565984,803.1614989150713,13413.252384667752,6884.505166573388,30444.399370994393,25950.46996320686,1553.5446436466082,1185.201756541517,2299.3611489855675,622.8207463549952,16043.492260983412,1272.7822270230733,319.462828332698,687.254390378801,479.727088142517,746.0523528204885,8022.607782048417,8927.192763137027,9650.679317015189,2667.556150122118,4429.995020703339,3616.3582982353205,9241.937263299702,887.2987024903273,1935.3500376670086,697.1630184142449
2007-01-01 09:00:00,940.6197064583756,4136.192906764423,784.0613854397118,5768.687353881232,3091.8736884471714,5274.0,4530.1472201116285,43503.84884893342,3394.7523633539267,807.3139087152198,15184.865987592162,6981.597371161159,33342.65411755775,27979.735574447473,2103.1050874503153,1348.7316521500325,2513.641561676218,1064.737139343989,18366.540736408504,1269.460615726163,376.0000007366262,669.768868790849,504.9982785673048,807.0020996503256,8873.331682529639,9138.211797359658,10293.014885850422,3068.741725307436,4466.2077285668465,3873.508426978441,9638.667196989834,972.4304296892849,2024.117444504149,739.9262363786912
2007-01-01 10:00:00,965.6514490832725,4429.961636793398,864.894951248007,6273.601629397889,3147.585399132453,5405.0,4569.451195989438,47098.02344893857,3352.736589350403,794.5210368039046,16612.019179706505,7056.805208222002,35565.896558913475,28529.858972552298,2270.324443111066,1460.3462812714588,2767.001886862884,1375.7934654495825,19717.599537922168,1251.0958946556982,395.1122122461923,653.1071077469514,516.6348526229383,832.0212205767739,9433.919995588474,9267.373353351599,10630.53136539861,3506.858415258541,4516.530684644965,4020.8460641637917,9789.88879624908,1044.0430705685899,2055.703682795901,764.1343964714684
2007-01-01 11:00:00,968.7717840284744,4403.1081168354485,880.4280565904495,6567.417547429747,3166.7453771742194,5579.0,4930.674690831216,48339.3778645976,3273.2537686268734,802.973025472587,17743.42698243169,6998.09036756452,38837.45149704871,28909.946430691947,1957.9449594805774,1480.1727846810772,2843.4652711056706,1569.6008318647548,19398.919224616253,1256.1337295349126,380.8257361178835,663.2844162920503,517.3722608819435,875.8384117093735,9825.286532244965,9279.530825145386,11291.315767164899,3912.6990603998647,4530.641546803666,4011.186852127525,9808.346134273368,1061.482314718939,2146.7335951040895,760.7240370439771
2007-01-01 12:00:00,989.1084717556863,4388.833407136902,838.1494436397207,6472.63196124713,3117.5345195101027,5533.0,4909.018005857239,48625.154009925354,3264.21994033773,792.8871968455148,18720.979660294444,6962.424699230946,36830.68717407189,29197.849752930357,1365.3861686542587,1414.1131348388817,2886.0374553394736,1711.2180092801107,18019.216963728926,1246.6309963799715,358.05041188511996,654.6000599469362,527.200893805256,895.2159184654578,9838.160798993906,9351.179930952312,11440.099157432762,3993.1377335147845,4556.928134532916,3992.834029109995,9821.249704671343,1029.6389831014703,2148.6955351261176,756.5422881106881
2007-01-01 13:00:00,993.2146286180905,4322.093637797993,793.527370176105,6237.977690276895,2976.4722781713053,5437.0,5091.013008077474,47727.14737773185,3206.8659306341183,791.2869163766949,18863.431038387873,6978.638318838187,34876.6474279311,28939.20118149528,1303.4091696381201,1348.7965080677825,3140.466906755153,1690.105416894903,17980.933189318985,1239.4493270834294,414.57891156152186,679.9584378089805,529.1463303013915,884.8057138435504,9644.313591944661,9340.764863576409,11415.53245442627,3723.2573146805926,4615.798430240821,3898.161320402712,9827.15920928117,1001.4596601912174,2126.8133611449007,739.3721393434857
2007-01-01 14:00:00,974.0168277335187,4372.940864135083,788.0495388760194,6151.506566632323,3008.3925464522777,5452.0,5143.725946456811,47690.95366857281,3146.0228955948396,826.2840582178035,17798.60574200758,7120.889445109542,34189.38092611838,28725.609168714764,1508.5167531325287,1344.3953809666255,3228.2217738371482,1657.9543277937285,18538.393118043285,1272.0303524040996,373.05964502929135,750.2896681560972,519.4213168654443,903.0056771741263,9536.063419291157,9246.898217498736,12734.16462210784,3616.1733911300553,4895.624703138829,3931.7883228591672,10002.700681288272,995.2843425577803,2177.5313142444343,745.2296519375413
2007-01-01 15:00:00,994.6633247129553,4721.536994765106,895.1502207125669,6201.936705142921,3169.181082066552,5583.0,5519.879149173537,50303.13284066572,3327.000182905559,828.0732298194039,17477.102431429972,7043.815957043247,34986.70070079907,28365.827647154874,2026.4111375503326,1511.9745712254237,3335.6546936178424,1672.5883402308345,21923.386129526752,1321.6549204558023,397.63903640525075,750.9555048281873,530.412142720987,949.1935091418443,9729.157625673903,9181.916516217045,13815.086540946691,3558.8695400140114,5281.9949472123135,4399.108125343543,10179.632082214835,1065.0770408462595,2286.311451921707,828.805254178514
2007-01-01 16:00:00,1019.3386710832328,5019.276695578119,987.6437080806365,7004.356572326445,3754.414598016623,5662.0,5348.820308955117,55384.54165900494,3731.9459317114706,810.1437867092121,18286.191019811602,6867.344869489807,40343.53267436439,29109.77288349848,2649.3775647166904,1659.0479612780578,3549.7046934639966,1818.320238591843,23171.954519250507,1301.849015798527,455.5763047072562,736.7637744506449,543.2407645167585,1003.072278463457,11340.372679344695,9063.83008681604,14040.87003967779,3671.6238278185974,5301.676453168997,4523.124533668271,10192.271646007408,1143.1526138283737,2305.2857907442267,850.8239830254
2007-01-01 17:00:00,1018.9149830429541,5054.659772442899,1002.9985108641336,7299.782138316233,4004.6348024197127,5631.0,5415.622870420564,56862.87368781884,3554.556897679363,790.5632183982826,21758.80422730369,6814.074917181426,42783.30853606776,31653.2005285701,2747.3175112647446,1690.577632446817,3528.630844816951,2069.7119291479594,24202.106083603467,1255.179859183253,504.7585021332128,709.8702751888884,543.4280755024791,983.104215803269,11933.098706986946,8748.053218289568,14061.673874388014,4693.31538425893,5288.717253153452,4499.858326303407,9758.012030941867,1151.4325486194987,2342.158120692802,847.0546940829122
2007-01-01 18:00:00,1022.9483176774648,4917.469661704383,1007.5092991658266,7328.996196314743,3970.2265587925367,5555.0,5233.514054771462,56187.75351573467,3274.8281198990626,761.0850901874231,23489.07675149905,6790.181781878116,43031.873056821605,32430.949355257362,2873.192409341381,1702.4295418399763,3650.744905110468,1875.409910125295,24037.014348947963,1218.083268054006,494.65669489652464,669.8804397591297,545.4181430720025,970.1938591321556,12081.940236248018,8402.846178844413,14276.582803061961,5002.667116092477,5199.542830707559,4458.96057687058,9331.10261160101,1148.474535954239,2342.8191502997715,839.3439879853248
