,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,XK
2012-01-01 00:00:00,784.0799542773887,5071.760159325018,814.9602216309311,7437.437696950232,3378.896884119537,5198.732678288207,4407.362332545526,38533.348094777335,2859.7289802962273,599.6941565712789,20038.79259980419,6568.207636125078,46315.51962924841,26992.536631087696,2019.0411329596745,1260.2740878500645,2988.7589277933102,1729.5384693556423,16824.379756421484,845.3812288605325,445.251284545505,425.08316826748603,464.42651192079404,1023.9711500672311,8817.348244540663,9436.236885645807,10651.78424411939,4214.301974129928,5158.099106217693,4717.11637917672,11832.973379221668,688.9165884828861,1996.5796028245738,851.9631452624776
2012-01-01 01:00:00,710.5846961464086,4746.272635278143,715.4650376646397,6902.910326711635,3079.614885194426,4944.062796253365,4239.293707066713,36359.51814121928,2714.8809390276256,545.0200111252852,18306.718566341744,6084.342028310362,42886.30374603752,25754.67898333972,1381.5278293338456,1096.1649220155455,2695.572121444581,1466.1211573658918,14297.249990173774,789.2058470993386,448.3370436750826,415.2250406927955,432.6331902067084,917.010076353328,8254.717781600562,8964.26729121909,9749.095641312344,3962.619025981755,4916.576134723293,4359.192137343462,11402.51140394962,615.847141610079,1837.1854606670208,789.4005480006443
2012-01-01 02:00:00,629.3598039317778,4284.754068128171,599.9720942639358,6386.768659917697,2659.6134308222036,4683.707742427791,3954.1614682205145,34870.10186552779,2534.281427199434,484.03373162205673,16520.018215094326,5330.041909612579,38648.44757837711,23203.707315595508,512.6132197792003,917.6777242710554,2478.4609201332296,1159.8066166076921,11303.045932695555,743.2410496307193,398.9756309623092,388.982558132407,401.86188412688307,818.4633670149522,7607.60631091452,8021.078115899563,8951.943301322222,3501.5253280966035,4726.9636917650305,3965.1118697611673,10679.82540549188,533.7788746426802,1678.7323605589077,721.2653967667757
2012-01-01 03:00:00,532.8585136196476,3971.353677607884,457.60854055071616,6031.6191696749365,2306.5585024758084,4348.735614425462,3598.3754643032385,33738.87042806115,2373.3337516222346,454.09651901962,14691.227269159941,4486.650276934503,34348.81048625271,20285.271085268792,-152.3441936510808,748.2981438414874,2372.5410950195123,844.4961661971267,8389.220933327097,719.3499153182771,380.65530079227176,417.156281384114,369.075269776383,704.3666293660851,7177.720225001507,6126.5862227458,8191.146756080259,3051.9284727671475,4674.589984736278,3480.090725022085,9310.534212752844,439.15407668816675,1484.5169155228912,637.8179804912277
2012-01-01 04:00:00,438.5856131497566,3721.701211619939,314.0636381937122,5923.22271439048,2208.110714406371,4112.96583133016,3302.812360080434,32276.58042611346,2318.2259663864834,450.28061502086666,12947.754312357745,4397.445757807441,31681.324070918236,17267.54698484391,-343.4704804259836,676.4646728459509,2390.0740216866266,511.4133556699878,7870.2851035393105,727.3314983246228,316.4396345848618,403.98777200522466,330.157842959153,622.1132602332352,7101.8806253318935,3917.854416132064,8071.970534472772,2633.890212683995,4549.548664398394,2966.8842114793397,7209.751415450417,409.6956858080255,1383.9592002818258,547.6946778406904
2012-01-01 05:00:00,429.19677635700174,3633.668784928658,295.76448006949545,5932.899817320033,2219.5177792866266,3733.9968192926553,3230.5099366522836,30148.377083098672,2368.662566090764,477.0195906728948,12524.267793290031,4607.268445805921,30867.4391511726,15592.876035317846,-154.234652913844,680.603780231404,2448.331891003021,314.5874152391741,8006.806879127349,748.4066395690388,371.8692836223645,436.4174547728521,329.1015669020322,595.1957889537871,7192.842878869182,3368.668038059146,8021.506642814629,2393.6500838529037,4470.390388930146,2829.5078346456075,6845.428609487155,417.08870113739397,1390.3523059181775,523.826128942135
2012-01-01 06:00:00,471.9585889895031,3956.1928614061203,314.1792668577392,5857.2485676989145,2287.7738353438704,3553.017300874137,3297.890103532325,30761.942278222417,2494.2377399898405,499.9978275218558,12906.779761189855,4993.2396844117375,31668.292433024413,15696.45673555809,127.38029473653478,691.8241319708662,2486.5983633618125,253.8918269027513,8765.395869802147,754.3161696365269,390.5478185064061,409.63152984981286,345.4378047925077,607.2988248581853,7466.398883097266,4089.1210748738213,7947.091648479176,2284.8864113067984,4352.953127087776,2907.9510982081742,7485.338121230774,474.6899569225015,1432.356866607004,536.8574885374812
2012-01-01 07:00:00,565.1167995642878,4392.1503140139075,401.766807044537,5985.882466391304,2524.421256482922,3595.347805140177,3373.5811477893812,31824.146614849138,2630.5585573333997,512.4618040749529,12806.939212702822,5165.497317754716,32165.38034299818,16256.210366783516,636.942884282495,815.4732086394815,2616.005860712174,352.19598839175774,9601.794034020168,793.0573234281908,323.8285752659688,428.543475276197,387.1355305002134,667.8616979443439,7849.370476489927,4728.2521282668185,7991.230390053621,2109.9117509414245,4402.628512622778,3144.0978163604714,8039.385803142497,559.4041991752247,1559.7126752651034,577.8365088946491
2012-01-01 08:00:00,647.875628000621,4916.452530472583,533.3995841059361,6261.1392760136905,2789.071991839861,3795.951637652419,3885.379335302171,34196.65254587425,2781.8500239995583,565.1382421409887,13268.603704036599,5416.08236834634,34232.65126626337,17514.527458800687,1229.4862817588182,999.6653640566199,2842.2492117292495,404.7460961263796,11873.177280593316,862.2003863948066,314.6774177885099,497.79991172649716,424.89569932304005,735.7987916479814,8232.82111843317,5489.707797275261,8574.684265253652,2241.8970721570595,4458.333645551917,3460.1094830344155,8540.946587893843,654.5695118873607,1756.6820695518466,633.2722552025091
2012-01-01 09:00:00,701.7825827294174,5363.1602276987505,650.269100755658,6721.655820720489,2954.6344330173292,3826.984809405763,4325.093175561446,37178.985718587515,2998.5740643397676,600.862700429846,14673.780048391825,5729.156705252741,36222.82739118495,20467.150898607913,1766.4206868847518,1160.0748438876071,3066.403196121116,674.8888367496841,14109.459920225292,916.5453896342308,359.805721947441,537.9730180931913,448.6623458479823,849.3582097258968,8947.452303941573,6233.874331952424,9178.706690258134,2652.530515666477,4486.470751168418,3756.3095974923067,9225.886604066058,723.4294854551695,1879.864702674994,685.3163440445578
