var,window_days,corr_era5_rcp26,corr_era5_rcp45,corr_rcp26_rcp45,era5_roll_mean,era5_roll_std,rcp26_roll_mean,rcp26_roll_std,rcp45_roll_mean,rcp45_roll_std
rsds,2.0,0.8779772173718167,0.877464795221302,0.8969077838896578,145.38188388177568,81.68053601591022,155.5723291856961,80.9091956846306,156.75555286503578,82.81947550125435
rsds,5.0,0.9232542271944816,0.9184937940809748,0.9349976837240275,145.38463734242245,79.58972524667709,155.58829049396198,79.04430724592453,156.77588762179028,81.11933984704362
rsds,7.0,0.9388931958942295,0.9328295521371612,0.9480677502017612,145.37824235016555,78.92150177972192,155.59266362862053,78.45187326748707,156.78900266507998,80.51910937517576
rsds,14.0,0.9641320884491222,0.9582975817850572,0.9715896535872217,145.41586165025706,77.59985548209748,155.61514525030717,77.33742541205442,156.76237585226127,79.48899966995646
rsds,30.0,0.9812550302739316,0.9795744229943188,0.9865352155813937,145.446795277188,75.9060923429964,155.6226224339826,76.07580006211614,156.71324400131007,78.33242914421197
sfcWind,2.0,0.043845526123799036,0.09324629502170893,0.1639793747471074,3.1447252616185337,0.8318747484800861,3.388382144144239,1.0248804117429793,3.3519775273389194,0.9956104915018622
sfcWind,5.0,0.08418867082945719,0.16150951516107806,0.23482833278948567,3.14913257743544,0.622653844927016,3.3911990727154433,0.8654368322119524,3.357665769068359,0.8296944102591516
sfcWind,7.0,0.11049945171496767,0.19284358257881648,0.2721466049168428,3.150563169663269,0.5558154015982999,3.392248048375019,0.8115796992327515,3.3605350706636283,0.7665545915319886
sfcWind,14.0,0.16120524464069924,0.25689951733623245,0.3930996039402308,3.1499413854448814,0.45105836546667594,3.3904563182981664,0.7089695350354104,3.372577913871965,0.6343461841001247
sfcWind,30.0,0.25944696422755475,0.3777374818811912,0.5270029002533432,3.1499668431190218,0.36922104406094175,3.388110533776931,0.6184755952948207,3.3928079959778477,0.5355481009060807
tas,2.0,0.8398017319022866,0.8413387768189757,0.8351988654627488,282.42446745136556,7.275452919616923,281.7907880604904,5.959587631946094,281.417975252294,6.6501947260363465
tas,5.0,0.870631613471183,0.8709305107531926,0.8654996089610284,282.4228478719302,7.163653512386974,281.7877861334959,5.849141959342208,281.41477881717844,6.539303930356559
tas,7.0,0.8857107776983221,0.8870868383423278,0.8808099626814958,282.4254692225307,7.102412739975366,281.78557480911996,5.796957729868973,281.41717988978706,6.480458063178708
tas,14.0,0.9199010079344074,0.9262503154585697,0.918231903741902,282.4217171306782,6.96593955419839,281.77081694613287,5.684336037906681,281.4546387656156,6.297969601187072
tas,30.0,0.9561256940100258,0.958698746716716,0.9571246833313192,282.41064854352675,6.8196907777821005,281.7077110789751,5.5845005024887495,281.5256734224411,6.041103825163454
