var,window_days,corr_era5_rcp26,corr_era5_rcp45,corr_rcp26_rcp45,era5_roll_mean,era5_roll_std,rcp26_roll_mean,rcp26_roll_std,rcp45_roll_mean,rcp45_roll_std
rsds,2.0,0.8452484821583377,0.8438669065820409,0.8891093490025652,142.86945381261395,85.64623931570097,155.27479402939616,81.51319628842495,156.4853814733856,83.40127317940362
rsds,5.0,0.8995106978138682,0.8930951458062163,0.9302952215523211,142.89143149878768,82.65227416298796,155.2901555913583,79.48136139124561,156.5134512547216,81.55922434819679
rsds,7.0,0.9194718891932597,0.9112218809546669,0.9444089401524683,142.89913707532418,81.60026739106357,155.29451753873172,78.83938537428669,156.52953553278252,80.90719896101145
rsds,14.0,0.9531711805138351,0.9445531952494584,0.9695127474035685,142.95234384426436,79.55621377049384,155.31756251306265,77.654292847377,156.50947347753578,79.7863714468227
rsds,30.0,0.9760071305975251,0.9730726522528033,0.9854084318305306,142.98127370869574,77.30517222049833,155.32850483312814,76.3437897774443,156.46738375373496,78.57045412898854
sfcWind,2.0,0.07690149200829755,0.09183831793897726,0.1637417411169338,2.9060707785385196,0.8368072508872305,3.4161950664819645,1.0829394520767963,3.3685575675746007,1.0389734767053025
sfcWind,5.0,0.12814859539602894,0.16722267735702562,0.24180304694551963,2.9101060862765245,0.6413728863375222,3.422823324885472,0.922820449607172,3.3735383985493512,0.8596780271577187
sfcWind,7.0,0.15430707191549467,0.20053305150151868,0.28209627671194615,2.9112805447643564,0.5814427297301429,3.4254143740189287,0.8694050197298725,3.3761033579010706,0.7914286149769826
sfcWind,14.0,0.19916515443546615,0.27327264518088384,0.40661505110380064,2.9103399756423274,0.4874857997043585,3.4268558668848406,0.7694924720932191,3.387490316956151,0.6497723046197429
sfcWind,30.0,0.28740344543884166,0.3956566708720595,0.5376462732956216,2.909300816600631,0.4135324329897604,3.4279019930885295,0.6825631416863641,3.406920809290697,0.5437120869958066
tas,2.0,0.8342142687651837,0.8353472185356575,0.8290455470200978,282.4129264445151,7.253901063825187,281.72283914562763,5.98119225646345,281.343325480585,6.681026542671861
tas,5.0,0.8662881917069412,0.8665345018507854,0.8609088712510358,282.4106886427428,7.137363957683064,281.7227362310155,5.861138869980199,281.3393754643465,6.563871834349896
tas,7.0,0.8818768175434677,0.8833876290771799,0.8768987003912937,282.4128279848955,7.074566891117897,281.7216327152545,5.80515610132053,281.3412597074949,6.502717161978773
tas,14.0,0.9172390351657083,0.9240204681461766,0.9156555377003192,282.40827293142746,6.934529467164156,281.7091948870333,5.685097382737853,281.3773145764015,6.316573249873157
tas,30.0,0.9544596478022866,0.9576191900683176,0.9555076210209201,282.39683676392053,6.7859561750405755,281.64832499895596,5.578357291359123,281.4465188736934,6.058033309601389
