siec,unit,geo\time	2022M04 	2022M03 	2022M02 	2022M01 	2021M12 	2021M11 	2021M10 	2021M09 	2021M08 	2021M07 	2021M06 	2021M05 	2021M04 	2021M03 	2021M02 	2021M01 	2020M12 	2020M11 	2020M10 	2020M09 	2020M08 	2020M07 	2020M06 	2020M05 	2020M04 	2020M03 	2020M02 	2020M01 	2019M12 	2019M11 	2019M10 	2019M09 	2019M08 	2019M07 	2019M06 	2019M05 	2019M04 	2019M03 	2019M02 	2019M01 	2018M12 	2018M11 	2018M10 	2018M09 	2018M08 	2018M07 	2018M06 	2018M05 	2018M04 	2018M03 	2018M02 	2018M01 	2017M12 	2017M11 	2017M10 	2017M09 	2017M08 	2017M07 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 
RA130,GWH,EE	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,EL	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,ES	: 	: 	285.086 	215.451 	269.909 	202.787 	232.113 	118.240 	159.087 	115.792 	105.706 	238.709 	153.680 	330.795 	401.293 	320.511 	318.745 	205.998 	229.967 	187.668 	158.855 	167.161 	152.396 	243.640 	314.351 	303.524 	229.840 	233.779 	318.751 	172.106 	116.034 	104.265 	70.640 	24.308 	55.303 	127.534 	119.385 	189.243 	188.799 	166.107 	134.669 	142.903 	215.002 	40.027 	60.031 	35.306 	58.723 	153.274 	345.637 	369.778 	180.623 	273.435 	399.543 	194.078 	159.466 	119.195 	115.563 	104.818 	125.950 	164.927 	263.933 	241.328 	403.335 	312.359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,EU27_2020	: 	: 	1506.548 	1508.817 	1696.796 	1506.698 	1420.836 	1179.128 	1180.728 	943.294 	1015.989 	1255.655 	1219.209 	1564.924 	1635.649 	1706.704 	1784.646 	1445.522 	1548.475 	1363.287 	1308.545 	1294.725 	1215.098 	1613.404 	1795.167 	1771.265 	1607.414 	1594.749 	1829.529 	1367.172 	1385.884 	1166.014 	1127.645 	997.553 	1173.326 	1176.120 	1250.364 	1452.355 	1234.461 	1441.567 	1579.130 	1387.210 	1531.503 	1150.214 	1079.166 	972.763 	1348.796 	1758.338 	1999.339 	1986.519 	1586.112 	1998.900 	2246.802 	1740.417 	1605.118 	1360.209 	1346.270 	1213.081 	1492.277 	1634.392 	1738.377 	1894.842 	1926.537 	2126.239 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,FI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,FR	: 	138.769 e	131.615 e	177.572 e	159.134 e	120.176 e	90.938 e	102.520 e	131.939 e	168.759 e	186.518 e	188.108 e	121.051 e	178.402 e	207.045 e	219.608 e	171.163 e	134.900 e	154.264 e	100.632 e	110.192 e	137.976 e	190.755 e	200.459 e	152.871 e	220.602 e	188.831 e	189.687 e	236.070 e	194.880 e	114.222 e	77.488 e	112.566 e	132.070 e	173.374 e	167.055 e	135.496 e	155.234 e	151.868 e	149.727 e	326.077 e	250.307 e	186.030 e	192.137 e	248.651 e	336.328 e	482.128 e	489.332 e	444.816 e	455.721 e	459.071 e	467.095 e	438.078 e	322.169 e	224.005 e	253.982 e	289.498 e	322.902 e	422.786 e	471.973 e	347.539 e	517.089 e	375.707 e	433.341 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,GE	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,HR	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,HU	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,IE	: 	25.616 	25.181 	24.073 	26.219 	24.076 	24.172 	23.399 	26.244 	22.888 	22.422 	23.716 	24.243 	17.578 	24.037 	23.813 	22.263 	16.392 	23.357 	24.271 	25.103 	24.611 	24.418 	26.589 	25.915 	24.961 	24.629 	25.825 	25.274 	22.912 	24.720 	20.633 	21.958 	20.237 	10.876 	10.387 	24.274 	21.022 	19.041 	21.268 	19.860 	19.513 	18.691 	20.358 	19.998 	13.743 	11.771 	20.355 	20.193 	23.731 	21.731 	24.992 	23.507 	22.350 	3.600 	0.001 	0.000 	11.856 	22.691 	23.453 	21.767 	24.158 	21.990 	25.834 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,IS	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,IT	: 	: 	136.000 e	97.000 e	184.000 e	180.000 e	122.000 e	122.000 e	115.000 e	77.000 e	93.000 e	146.000 e	125.000 e	129.000 e	146.000 e	114.000 e	151.000 e	115.000 e	155.000 e	107.000 e	92.000 e	70.000 e	74.000 e	146.000 e	186.000 e	188.000 e	109.000 e	111.000 e	160.000 e	108.000 e	146.000 e	78.000 e	65.000 e	57.000 e	96.000 e	117.000 e	135.000 e	143.000 e	113.000 e	163.000 e	136.000 	93.000 	85.000 	62.000 	64.000 	81.000 	78.000 	117.000 e	187.000 e	172.000 e	111.000 e	117.000 e	187.000 e	148.000 e	103.000 e	88.000 e	90.000 e	71.000 e	89.000 e	115.000 e	152.000 e	118.000 e	120.000 e	169.000 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,LT	: 	: 	43.214 	67.760 	75.264 	73.943 	67.461 	47.076 	43.767 	37.465 	36.151 	63.736 	70.333 	53.435 	59.828 	63.426 	68.265 	73.522 	50.033 	72.144 	76.854 	67.076 	64.440 	47.978 	50.043 	72.022 	69.053 	49.422 	42.441 	22.028 	57.800 	82.900 	93.800 	87.290 	59.255 	39.282 	23.204 	16.563 	22.272 	37.976 	29.577 	32.718 	84.344 	72.948 	49.743 	21.733 	36.709 	49.536 	15.577 	28.242 	41.173 	51.384 	43.010 	45.526 	57.139 	60.809 	67.075 	55.183 	51.252 	41.729 	33.864 	24.208 	41.101 	46.612 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,LU	: 	: 	82.973 	76.309 	85.871 	81.694 	88.146 	89.839 	79.360 	67.011 	68.680 	83.672 	86.494 	82.343 	74.814 	81.516 	76.653 	63.960 e	100.534 	96.568 	81.983 	75.611 	77.229 	87.469 	94.757 	83.001 	81.855 e	78.755 	90.128 	81.223 	74.258 	53.211 	61.388 	48.921 	62.504 	51.458 	51.533 	95.124 	72.738 	92.049 	102.189 	103.764 	116.022 	93.633 	78.921 	48.233 	102.277 	128.550 	130.551 	125.683 	96.819 	110.912 	126.367 	109.677 	145.473 	117.457 	110.870 	73.557 	78.544 	90.386 	124.310 	115.821 	117.471 	119.466 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,LV	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,MD	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,MK	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
RA130,GWH,MT	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
