siec,plant_tec,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
R5100,CAP_NET_ELC,MW,HR	80.200 	75.500 	64.800 	42.000 	26.000 	25.000 	8.000 	7.000 	7.000 	6.000 	3.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,HU	397.000 	402.000 	414.000 	386.000 	322.000 	422.000 	467.000 	247.000 	260.000 	436.000 	469.000 	464.000 	356.000 	306.000 	328.000 	337.000 	189.000 	40.000 	44.000 	5.000 	5.000 	5.000 	5.000 	5.000 	5.000 	5.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,IE	6.707 	6.650 	5.450 	5.450 	5.450 	5.450 	5.450 	5.450 	5.450 	5.450 	5.350 	5.350 	5.350 	1.830 	2.000 	2.000 	2.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,IT	726.182 	727.979 	733.213 	684.108 	685.000 	616.000 	620.000 	606.000 	538.000 	421.000 	406.000 	438.000 	415.000 	362.000 	359.000 	358.000 	380.000 	383.000 	290.000 	221.000 	218.000 	198.000 	154.000 	90.000 	96.000 	68.000 	76.000 	9.000 	9.000 	4.000 	4.000 
R5100,CAP_NET_ELC,MW,LI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
R5100,CAP_NET_ELC,MW,LT	63.000 	63.000 	62.000 	45.000 	39.000 	45.000 	46.000 	43.000 	38.000 	18.000 	16.000 	16.000 	16.000 	16.000 	12.000 	2.000 	2.000 	2.000 	2.000 	2.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,LU	35.145 	35.145 	15.145 	14.815 	3.915 	3.915 	3.750 	3.750 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,LV	96.067 	96.947 	72.609 	93.736 	81.000 	66.000 	63.000 	55.000 	23.000 	5.000 	5.000 	2.000 	3.000 	3.000 	3.000 	3.000 	3.000 	2.000 	1.000 	1.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5100,CAP_NET_ELC,MW,MD	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
