Country;month;year;status;net_gen_nuclear;net_gen_nuclear_rep;prod_fossil_fuels;prod_fossil_fuels_rep;-> of which lignite;lignite_rep;-> of which hard coal;hard_coal_rep;-> of which gas;gas_rep;-> of which oil;fuel_oil_rep;-> of which mixed fuels;mixed_fuel_rep;-> of_which_other_fossil_fuels;other_fossil_fuels_rep;net_gen_renewable;net_gen_renewable_rep;-> of which wind;wind_rep;-> of which solar;solar_rep;-> of which biomass;biomass_rep;-> of_which_other_renewable;other_renewable_rep;net_gen_hydro;net_gen_hydro_rep;-> of_which_renew;renew_rep;-> of_which_other_hydro;other_hydro_rep;net_gen_not_clearly;net_gen_not_clearly_rep;losses_trans;losses_trans_repr;Sum;pump;exg_saldo;consumption
LV;4;2014;P;0;100;151;100;0;100;0;100;103;100;0;100;48;100;0;100;58;100;9;100;0;100;21;100;28;100;331;100;331;100;0;100;0;100;18;100;540;0;30;570
LV;5;2014;P;0;100;131;100;0;100;0;100;90;100;0;100;41;100;0;100;54;100;8;100;0;100;17;100;29;100;304;100;304;100;0;100;0;100;19;100;489;0;151;640
EE;4;2014;P;0;100;698;100;0;100;0;100;0;100;0;100;0;100;698;100;106;100;44;100;0;100;62;100;0;100;3;100;3;100;0;100;0;100;32;100;807;0;-156;651
HR;5;2014;P;0;100;237;100;0;100;183;100;54;100;0;100;0;100;0;100;48;100;48;100;0;100;0;100;0;100;732;100;732;100;0;100;0;100;37;100;1017;16;297;1298
GB;3;2014;P;4946;100;19750;90;0;100;11365;100;6409;100;1;100;0;100;0;100;3435;100;2061;100;0;100;0;100;0;100;908;87;519;100;271;100;0;100;516;100;29039;340;1311;30010
SI;4;2014;P;500;100;241;100;207;100;28;100;0;100;0;100;0;100;6;100;46;100;0;100;23;100;14;100;9;100;570;100;547;100;23;100;8;100;12;100;1365;30;-276;1059
BE;4;2014;P;2482;100;1653;100;0;100;350;100;1301;100;2;100;0;100;0;100;865;100;239;100;342;100;284;100;0;100;104;100;11;100;93;100;0;100;0;100;5104;126;1760;6738
LU;1;2014;D;0;100;126;100;0;100;0;100;126;100;0;100;0;100;0;100;16;100;11;100;1;100;4;100;;100;109;100;17;100;92;100;6;100;2;100;257;128;423;552
LU;2;2014;D;0;100;98;100;0;100;0;100;98;100;0;100;0;100;0;100;18;100;12;100;2;100;4;100;0;100;108;100;16;100;92;100;5;100;2;100;229;127;416;518
SE;3;2014;P;6248;100;341;100;0;100;101;100;37;100;7;100;196;100;0;100;2202;100;1200;100;0;100;1002;100;0;100;6867;100;6867;100;0;100;0;100;271;100;15658;0;-3110;12548
SE;4;2014;P;4876;100;252;100;0;100;53;100;12;100;6;100;181;100;0;100;1724;100;902;100;0;100;822;100;0;100;6005;100;6005;100;0;100;0;100;256;100;12857;0;-1897;10960
LT;4;2014;P;0;100;71;100;0;100;0;100;32;100;0;100;21;100;18;100;81;100;39;100;10;100;32;100;0;100;78;100;42;100;36;100;0;100;18;100;230;53;671;848
RO;4;2014;D;936;100;1582;100;858;100;201;100;162;100;0;100;361;100;0;100;679;100;492;100;146;100;41;100;0;100;1518;100;1518;100;0;100;0;100;78;100;4715;28;-440;4247
RO;5;2014;D;612;100;1512;100;982;100;179;100;59;100;0;100;292;100;0;100;568;100;327;100;203;100;38;100;0;100;2047;100;2047;100;0;100;0;100;82;100;4739;47;-550;4142
ME;4;2014;P;0;100;136;100;136;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;135;100;0;100;135;100;0;100;10;100;271;0;-20;251
ME;5;2014;P;0;100;68;100;68;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;104;100;0;100;104;100;0;100;9;100;172;0;73;245
LU;3;2014;D;0;100;184;100;0;100;0;100;184;100;0;100;0;100;0;100;17;100;6;100;7;100;4;100;0;100;111;100;9;100;102;100;6;100;2;100;318;141;375;552
CH;4;2014;D;2257;100;169;100;0;100;0;100;0;100;0;100;0;100;169;100;150;100;11;100;0;100;0;100;139;100;2932;100;0;100;2932;100;0;100;50;100;5508;140;-444;4924
ES;5;2014;P;4341;100;7638;100;342;100;3045;100;3222;100;1029;100;0;100;0;100;6243;100;4178;100;1654;100;408;100;3;100;3096;100;2792;100;304;100;20;100;214;100;21338;435;-256;20647
GB;4;2014;P;5260;100;16516;90;0;100;9708;100;5155;100;1;100;0;100;0;100;2513;100;1508;100;0;100;0;100;0;100;666;87;357;100;222;100;0;100;408;100;24955;303;1651;26303
DE;4;2014;P;7334;100;25783;100;11519;100;8914;100;4081;100;269;100;1000;100;0;100;10552;100;3703;100;3715;100;3014;100;120;100;1676;100;1120;100;556;100;0;100;530;100;45345;644;-2987;41714
NI;5;2014;P;0;100;510;100;0;100;220;100;290;100;0;100;0;100;0;100;92;100;84;100;0;100;5;100;3;100;0;100;0;100;0;100;0;100;10;100;602;0;106;708
BA;6;2014;P;0;100;702;100;702;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;399;100;399;100;0;100;0;100;23;100;1101;0;-221;880
FI;5;2014;P;1655;100;1133;100;0;100;498;100;397;100;14;100;224;100;0;100;939;100;78;100;0;100;861;100;0;100;1389;100;1389;100;0;100;67;100;0;100;5183;0;1206;6389
IT;4;2014;P;0;100;11436;100;0;100;2633;100;6652;100;990;100;847;100;314;100;4564;100;1468;100;2215;100;431;100;450;100;5350;100;5056;100;294;100;0;100;298;100;21350;249;2850;23951
AT;4;2014;P;0;100;692;100;0;100;151;100;299;100;46;100;0;100;196;100;453;100;220;100;;100;;100;233;100;3316;100;3022;100;294;100;701;100;41;100;5162;422;909;5649
AT;5;2014;P;0;100;616;100;0;100;49;100;305;100;56;100;0;100;206;100;582;100;349;100;;100;;100;233;100;4325;100;4009;100;316;100;879;100;42;100;6402;452;-345;5605
HR;6;2014;P;0;100;222;100;0;100;204;100;18;100;0;100;0;100;0;100;52;100;52;100;0;100;0;100;0;100;478;100;478;100;0;100;0;100;36;100;752;18;547;1281
HU;4;2014;P;1037;100;518;100;271;100;67;100;176;100;4;100;0;100;0;100;165;100;50;100;1;100;114;100;0;100;25;100;25;100;0;100;0;100;27;100;1745;0;1395;3140
HU;5;2014;P;1061;100;575;100;411;100;67;100;94;100;3;100;0;100;0;100;243;100;79;100;1;100;163;100;0;100;28;100;28;100;0;100;0;100;31;100;1907;0;1290;3197
GR;4;2014;P;0;100;2257;100;1819;100;0;100;438;100;0;100;0;100;0;100;574;100;242;100;314;100;18;100;0;100;318;100;84;100;234;100;0;100;83;100;3149;11;443;3581
EE;5;2014;P;0;100;806;100;0;100;0;100;0;100;0;100;0;100;806;100;83;100;36;100;0;100;47;100;0;100;3;100;3;100;0;100;0;100;30;100;892;0;-271;621
NL;5;2014;D;325;100;6256;100;0;100;0;100;0;100;0;100;0;100;6256;100;852;100;400;100;7;100;445;100;0;100;3;100;3;100;0;100;0;100;46;100;7436;0;1559;8995
SK;5;2014;P;1174;100;319;100;132;100;41;100;135;100;11;100;0;100;0;100;161;100;1;100;58;100;73;100;29;100;514;100;499;100;15;100;5;100;21;100;2173;19;-67;2087
FR;5;2014;P;31713;100;1103;100;0;100;368;100;518;100;217;100;0;100;0;100;2824;100;1532;100;681;100;611;100;0;100;6207;100;5701;100;506;100;0;100;570;100;41847;723;-6454;34670
IS;5;2014;P;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;429;100;0;100;0;100;0;100;429;100;1056;100;1056;100;0;100;0;100;32;100;1485;0;0;1485
IS;6;2014;P;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;378;100;0;100;0;100;0;100;378;100;1027;100;1027;100;0;100;0;100;26;100;1405;0;0;1405
PT;6;2014;P;0;100;1696;100;0;100;1151;100;524;100;13;100;0;100;8;100;958;100;682;100;58;100;218;100;0;100;782;100;727;100;55;100;0;100;52;100;3436;69;444;3811
NI;6;2014;P;0;100;461;100;0;100;165;100;296;100;0;100;0;100;0;100;58;100;51;100;0;100;5;100;2;100;1;100;0;100;1;100;0;100;10;100;520;0;139;659
IE;5;2014;P;0;100;1510;100;178;100;302;100;1024;100;0;100;0;100;6;100;374;100;354;100;0;100;0;100;20;100;67;100;41;100;26;100;0;100;0;100;1951;47;200;2104
IE;6;2014;P;0;100;1571;100;156;100;284;100;1126;100;0;100;0;100;5;100;220;100;201;100;0;100;0;100;19;100;32;100;21;100;11;100;0;100;0;100;1823;22;173;1974
PL;5;2014;P;0;100;9901;100;4033;100;4986;100;212;100;0;100;0;100;670;100;1214;100;605;100;0;100;574;100;35;100;292;100;260;100;32;100;0;100;93;100;11407;54;302;11655
CH;5;2014;D;2449;100;168;100;0;100;0;100;0;100;0;100;0;100;168;100;161;100;11;100;0;100;0;100;150;100;3525;100;0;100;3525;100;0;100;43;100;6303;226;-1088;4989
CZ;6;2014;P;2371;100;2574;100;1917;100;307;100;334;100;2;100;0;100;14;100;684;100;25;100;307;100;158;100;194;100;184;100;133;100;51;100;0;100;56;100;5813;64;-1062;4687
BG;5;2014;D;798;100;1195;100;963;100;102;100;130;100;0;100;0;100;0;100;236;100;78;100;148;100;10;100;0;100;542;100;506;100;36;100;0;100;0;100;2771;55;-634;2082
BG;6;2014;D;1320;100;939;100;723;100;99;100;117;100;0;100;0;100;0;100;258;100;103;100;145;100;10;100;0;100;569;100;538;100;31;100;0;100;0;100;3086;45;-819;2222
DK;6;2014;P;0;100;798;100;0;100;661;100;136;100;1;100;0;100;0;100;907;100;638;100;95;100;174;100;0;100;1;100;1;100;0;100;0;100;0;100;1706;0;859;2565
EE;6;2014;P;0;100;848;100;0;100;0;100;0;100;0;100;0;100;848;100;85;100;33;100;0;100;52;100;0;100;2;100;2;100;0;100;0;100;28;100;935;0;-374;561
UA_W;5;2014;P;0;100;669;100;0;100;0;100;0;100;0;100;669;100;0;100;2;100;0;100;2;100;0;100;0;100;9;100;9;100;0;100;0;100;13;100;680;0;-351;329
UA_W;6;2014;P;0;100;733;100;0;100;0;100;0;100;0;100;733;100;0;100;3;100;0;100;3;100;0;100;0;100;6;100;6;100;0;100;0;100;15;100;742;0;-430;312
LT;5;2014;P;0;100;66;100;0;100;0;100;30;100;0;100;18;100;18;100;76;100;39;100;10;100;27;100;0;100;90;100;36;100;54;100;0;100;16;100;232;78;691;845
ES;6;2014;P;3439;100;9983;100;507;100;4723;100;3683;100;1070;100;0;100;0;100;5309;100;3311;100;1591;100;404;100;3;100;2690;100;2462;100;228;100;21;100;230;100;21442;325;-286;20831
SI;5;2014;P;515;100;301;100;277;100;22;100;0;100;0;100;0;100;2;100;47;100;0;100;31;100;12;100;4;100;592;100;569;100;23;100;5;100;12;100;1460;32;-359;1069
RO;6;2014;D;780;100;1558;100;1013;100;178;100;110;100;0;100;257;100;0;100;623;100;385;100;211;100;27;100;0;100;1667;100;1667;100;0;100;0;100;75;100;4628;30;-606;3992
IT;5;2014;P;0;100;11445;100;0;100;2638;100;6619;100;1263;100;745;100;180;100;4736;100;1169;100;2683;100;410;100;474;100;5985;100;5655;100;330;100;0;100;313;100;22166;221;2979;24924
DE;5;2014;P;6057;100;23697;100;10956;100;8040;100;3446;100;288;100;967;100;0;100;11522;100;4116;100;4207;100;3070;100;129;100;2149;100;1581;100;568;100;0;100;477;100;43425;649;-1006;41770
BE;5;2014;P;2867;100;1463;100;0;100;312;100;1149;100;2;100;0;100;0;100;969;100;320;100;371;100;278;100;0;100;113;100;11;100;102;100;0;100;0;100;5412;136;1475;6751
LU;4;2014;D;0;100;194;100;0;100;0;100;194;100;0;100;0;100;0;100;16;100;5;100;7;100;4;100;0;100;93;100;4;100;89;100;5;100;2;100;308;125;319;502
LU;5;2014;D;0;100;20;100;0;100;0;100;20;100;0;100;0;100;0;100;18;100;7;100;7;100;4;100;0;100;99;100;4;100;95;100;7;100;2;100;144;133;508;519
NO;4;2014;P;0;100;315;100;0;100;0;100;315;100;0;100;0;100;0;100;179;100;179;100;0;100;0;100;0;100;11046;100;11046;100;0;100;0;100;883;100;11540;74;-1312;10154
NO;5;2014;P;0;100;170;100;0;100;0;100;170;100;0;100;0;100;0;100;117;100;117;100;0;100;0;100;0;100;11035;100;11035;100;0;100;0;100;816;100;11322;320;-1662;9340
GB;5;2014;P;5379;100;16393;90;0;100;7818;100;6936;100;0;100;0;100;0;100;2040;100;1224;100;0;100;0;100;0;100;501;87;209;100;227;100;0;100;417;100;24313;311;1665;25667
SE;5;2014;P;3488;100;207;100;0;100;35;100;2;100;8;100;162;100;0;100;1416;100;682;100;0;100;734;100;0;100;5746;100;5746;100;0;100;0;100;252;100;10857;0;-572;10285
SE;6;2014;P;3395;100;157;100;0;100;2;100;2;100;6;100;147;100;0;100;1222;100;612;100;0;100;610;100;0;100;5410;100;5410;100;0;100;0;100;258;100;10184;0;-856;9328
GR;5;2014;P;0;100;2026;100;1764;100;0;100;262;100;0;100;0;100;0;100;617;100;233;100;366;100;18;100;0;100;423;100;82;100;341;100;0;100;85;100;3066;6;598;3658
SK;6;2014;P;1092;100;292;100;117;100;32;100;129;100;14;100;0;100;0;100;167;100;0;100;67;100;73;100;27;100;297;100;284;100;13;100;7;100;25;100;1855;19;214;2050
DK;7;2014;P;0;100;830;100;0;100;740;100;90;100;0;100;0;100;0;100;825;100;575;100;93;100;157;100;0;100;1;100;1;100;0;100;0;100;0;100;1656;0;883;2539
ME;6;2014;P;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;106;100;0;100;106;100;0;100;9;100;106;0;136;242
ME;7;2014;P;0;100;121;100;121;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;90;100;0;100;90;100;0;100;9;100;211;0;61;272
UA_W;7;2014;P;0;100;751;100;0;100;0;100;0;100;0;100;751;100;0;100;2;100;0;100;2;100;0;100;0;100;11;100;11;100;0;100;0;100;18;100;764;0;-430;334
RS;5;2014;P;0;100;1595;100;1595;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;1260;100;1178;100;82;100;0;100;69;100;2855;107;82;2830
PL;6;2014;P;0;100;9746;100;3992;100;5031;100;172;100;0;100;0;100;551;100;1029;100;417;100;1;100;577;100;34;100;203;100;171;100;32;100;0;100;114;100;10978;50;320;11248
FI;6;2014;P;1786;100;648;100;0;100;324;100;197;100;12;100;115;100;0;100;708;100;52;100;0;100;656;100;0;100;1278;100;1278;100;0;100;57;100;0;100;4477;0;1244;5721
SI;6;2014;P;494;100;279;100;266;100;12;100;0;100;0;100;0;100;1;100;46;100;0;100;32;100;11;100;3;100;505;100;482;100;23;100;0;100;14;100;1324;32;-233;1059
MK;6;2014;P;0;100;204;100;204;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;95;100;0;100;95;100;0;100;11;100;299;0;241;540
MK;7;2014;P;0;100;308;100;308;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;97;100;0;100;97;100;0;100;12;100;405;0;176;581
CH;6;2014;P;1659;100;163;100;0;100;0;100;0;100;0;100;0;100;163;100;157;100;11;100;0;100;0;100;146;100;3975;100;0;100;3975;100;0;100;39;100;5954;337;-940;4677
CZ;7;2014;P;1942;100;2693;100;2109;100;264;100;305;100;3;100;0;100;12;100;662;100;22;100;288;100;157;100;195;100;139;100;117;100;22;100;0;100;60;100;5436;30;-643;4763
NL;6;2014;D;97;100;6299;100;0;100;0;100;0;100;0;100;0;100;6299;100;982;100;393;100;7;100;582;100;0;100;4;100;4;100;0;100;0;100;53;100;7382;0;1203;8585
NL;7;2014;D;373;100;6479;100;0;100;0;100;0;100;0;100;0;100;6479;100;612;100;213;100;7;100;392;100;0;100;2;100;2;100;0;100;0;100;56;100;7466;0;1671;9137
LT;6;2014;P;0;100;153;100;0;100;0;100;114;100;0;100;22;100;17;100;63;100;36;100;9;100;18;100;0;100;84;100;31;100;53;100;0;100;16;100;300;70;570;800
ES;7;2014;P;4263;100;10595;100;496;100;5133;100;3823;100;1143;100;0;100;0;100;5813;100;3637;100;1763;100;410;100;3;100;2519;100;2354;100;165;100;25;100;248;100;23215;240;-482;22493
HU;6;2014;P;963;100;623;100;467;100;67;100;86;100;3;100;0;100;0;100;230;100;36;100;1;100;193;100;0;100;19;100;19;100;0;100;0;100;32;100;1835;0;1332;3167
CY;6;2014;P;0;100;347;100;0;100;0;100;0;100;347;100;0;100;0;100;22;100;22;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;369;0;0;369
FR;6;2014;P;30995;100;1034;100;0;100;354;100;471;100;209;100;0;100;0;100;2252;100;962;100;763;100;527;100;0;100;5060;100;4618;100;442;100;0;100;586;100;39341;631;-6126;32584
DE;6;2014;P;6644;100;23335;100;11288;100;7455;100;3309;100;325;100;958;100;0;100;10594;100;2618;100;5012;100;2846;100;118;100;1749;100;1269;100;480;100;0;100;441;100;42322;544;-1819;39959
BA;7;2014;P;0;100;732;100;732;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;340;100;340;100;0;100;0;100;22;100;1072;0;-132;940
BA;8;2014;P;0;100;760;100;760;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;325;100;325;100;0;100;0;100;26;100;1085;0;-153;932
SK;7;2014;P;1259;100;286;100;116;100;23;100;130;100;17;100;0;100;0;100;149;100;0;100;60;100;63;100;26;100;442;100;421;100;21;100;6;100;30;100;2142;28;-28;2086
PT;7;2014;P;0;100;1895;100;0;100;1237;100;626;100;14;100;0;100;18;100;1026;100;722;100;72;100;232;100;0;100;576;100;511;100;65;100;0;100;50;100;3497;82;706;4121
PT;8;2014;P;0;100;1788;100;0;100;1214;100;541;100;11;100;0;100;22;100;1086;100;765;100;80;100;241;100;0;100;521;100;463;100;58;100;0;100;47;100;3395;72;518;3841
AT;6;2014;P;0;100;514;100;0;100;27;100;224;100;52;100;0;100;211;100;387;100;154;100;;100;;100;233;100;3831;100;3510;100;321;100;766;100;56;100;5498;458;322;5362
AT;7;2014;P;0;100;535;100;0;100;51;100;181;100;57;100;0;100;246;100;430;100;197;100;;100;;100;233;100;3982;100;3710;100;272;100;749;100;61;100;5696;389;302;5609
LU;6;2014;D;0;100;15;100;0;100;0;100;15;100;0;100;0;100;0;100;18;100;4;100;10;100;4;100;0;100;83;100;2;100;81;100;7;100;2;100;123;133;478;468
GB;6;2014;P;5658;100;15607;90;0;100;5356;100;8690;100;0;100;0;100;0;100;1152;100;691;100;0;100;0;100;0;100;407;87;137;100;217;100;0;100;359;100;22824;302;1438;23960
IT;6;2014;P;0;100;12411;100;0;100;2643;100;7451;100;1337;100;805;100;175;100;4615;100;897;100;2819;100;440;100;459;100;6027;100;5695;100;332;100;0;100;383;100;23053;153;3033;25933
RS;6;2014;P;0;100;1426;100;1426;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;1009;100;969;100;40;100;0;100;66;100;2435;41;233;2627
RS;7;2014;P;0;100;1604;100;1604;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;735;100;719;100;16;100;0;100;72;100;2339;55;471;2755
CZ;8;2014;P;2122;100;2669;100;2169;100;223;100;265;100;2;100;0;100;10;100;613;100;25;100;231;100;160;100;197;100;193;100;129;100;64;100;0;100;48;100;5597;85;-997;4515
EE;7;2014;P;0;100;836;100;0;100;0;100;0;100;0;100;0;100;836;100;81;100;30;100;0;100;51;100;0;100;2;100;2;100;0;100;0;100;29;100;919;0;-267;652
HR;7;2014;P;0;100;214;100;0;100;206;100;8;100;0;100;0;100;0;100;41;100;41;100;0;100;0;100;0;100;505;100;505;100;0;100;0;100;40;100;760;15;684;1429
HR;8;2014;P;0;100;203;100;0;100;190;100;13;100;0;100;0;100;0;100;41;100;41;100;0;100;0;100;0;100;587;100;587;100;0;100;0;100;40;100;831;19;583;1395
GR;6;2014;P;0;100;2281;100;1847;100;0;100;434;100;0;100;0;100;0;100;583;100;223;100;344;100;16;100;0;100;408;100;54;100;354;100;0;100;98;100;3272;2;680;3950
GR;7;2014;P;0;100;2636;100;1965;100;0;100;671;100;0;100;0;100;0;100;598;100;188;100;393;100;17;100;0;100;562;100;39;100;523;100;0;100;117;100;3796;0;985;4781
DK;8;2014;P;0;100;1001;100;0;100;896;100;104;100;1;100;0;100;0;100;1245;100;1017;100;73;100;155;100;0;100;1;100;1;100;0;100;0;100;0;100;2247;0;391;2638
NO;6;2014;P;0;100;255;100;0;100;0;100;255;100;0;100;0;100;0;100;107;100;107;100;0;100;0;100;0;100;10356;100;10356;100;0;100;0;100;747;100;10718;463;-2110;8145
FI;7;2014;P;1838;100;818;100;0;100;625;100;91;100;13;100;89;100;0;100;698;100;37;100;0;100;661;100;0;100;805;100;805;100;0;100;57;100;0;100;4216;0;1627;5843
NI;7;2014;P;0;100;507;100;0;100;195;100;312;100;0;100;0;100;0;100;77;100;69;100;0;100;5;100;3;100;1;100;0;100;1;100;0;100;9;100;585;0;66;651
NI;8;2014;P;0;100;505;100;0;100;197;100;308;100;0;100;0;100;0;100;125;100;116;100;0;100;5;100;4;100;1;100;0;100;1;100;0;100;9;100;631;0;31;662
LV;6;2014;P;0;100;108;100;0;100;0;100;71;100;0;100;37;100;0;100;56;100;7;100;0;100;22;100;27;100;121;100;121;100;0;100;0;100;20;100;285;0;241;526
LV;7;2014;P;0;100;143;100;0;100;0;100;112;100;0;100;31;100;0;100;53;100;6;100;0;100;20;100;27;100;99;100;99;100;0;100;0;100;19;100;295;0;263;558
LV;8;2014;P;0;100;180;100;0;100;0;100;150;100;0;100;30;100;0;100;57;100;10;100;0;100;20;100;27;100;63;100;63;100;0;100;0;100;17;100;300;0;265;565
GB;7;2014;P;5446;100;15884;90;0;100;4619;100;9677;100;0;100;0;100;0;100;1667;100;1000;100;0;100;0;100;0;100;345;87;81;100;219;100;0;100;357;100;23342;301;1901;24942
SI;7;2014;P;511;100;274;100;241;100;32;100;0;100;0;100;0;100;1;100;43;100;0;100;29;100;11;100;3;100;478;100;458;100;20;100;5;100;14;100;1311;26;-195;1090
LT;7;2014;P;0;100;241;100;0;100;0;100;170;100;0;100;52;100;19;100;66;100;36;100;11;100;19;100;0;100;81;100;23;100;58;100;0;100;17;100;388;83;539;844
RO;7;2014;D;941;100;1750;100;1138;100;190;100;145;100;0;100;277;100;0;100;597;100;370;100;199;100;28;100;0;100;1737;100;1737;100;0;100;0;100;74;100;5025;35;-680;4310
HU;7;2014;P;1222;100;867;100;518;100;46;100;299;100;4;100;0;100;0;100;166;100;38;100;1;100;127;100;0;100;25;100;25;100;0;100;0;100;34;100;2280;0;1068;3348
CY;7;2014;P;0;100;450;100;0;100;0;100;0;100;450;100;0;100;0;100;22;100;22;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;472;0;0;472
CY;8;2014;P;0;100;463;100;0;100;0;100;0;100;463;100;0;100;0;100;10;100;10;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;473;0;0;473
UA_W;8;2014;P;0;100;589;100;0;100;0;100;0;100;0;100;589;100;0;100;2;100;0;100;2;100;0;100;0;100;12;100;12;100;0;100;0;100;14;100;603;0;-286;317
FR;7;2014;P;33394;100;859;100;;100;157;100;432;100;270;100;0;100;0;100;2243;100;957;100;690;100;596;100;0;100;6201;100;5735;100;466;100;0;100;608;100;42697;666;-8120;33911
IE;7;2014;P;0;100;1633;100;223;100;249;100;1153;100;2;100;0;100;6;100;256;100;234;100;0;100;0;100;22;100;18;100;8;100;10;100;0;100;0;100;1907;18;150;2039
IE;8;2014;P;0;100;1438;100;200;100;317;100;918;100;0;100;0;100;3;100;425;100;407;100;0;100;0;100;18;100;53;100;27;100;26;100;0;100;0;100;1916;47;168;2037
RO;8;2014;P;937;100;1616;100;1078;100;180;100;140;100;0;100;218;100;0;100;586;100;337;100;225;100;24;100;0;100;1929;100;1929;100;0;100;0;100;80;100;5068;27;-877;4164
ES;8;2014;P;4221;100;10499;100;617;100;4689;100;4059;100;1134;100;0;100;0;100;5110;100;2917;100;1747;100;443;100;3;100;2193;100;2040;100;153;100;21;100;222;100;22044;218;-237;21589
DE;7;2014;P;6189;100;24954;100;11241;100;8695;100;3695;100;292;100;1031;100;0;100;10188;100;2560;100;4605;100;2909;100;114;100;2202;100;1680;100;522;100;0;100;417;100;43533;533;542;43542
IS;7;2014;P;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;407;100;0;100;0;100;0;100;407;100;1076;100;1076;100;0;100;0;100;29;100;1483;0;0;1483
IS;8;2014;P;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;379;100;1;100;0;100;0;100;378;100;1098;100;1098;100;0;100;0;100;30;100;1477;0;0;1477
BG;7;2014;D;1386;100;1532;100;1186;100;265;100;81;100;0;100;0;100;0;100;250;100;78;100;161;100;11;100;0;100;370;100;339;100;31;100;0;100;0;100;3538;50;-1016;2472
BG;8;2014;D;1335;100;1448;100;1134;100;240;100;74;100;0;100;0;100;0;100;247;100;75;100;161;100;11;100;0;100;334;100;299;100;35;100;0;100;0;100;3364;50;-826;2488
BG;9;2014;D;904;100;1597;100;1295;100;233;100;69;100;0;100;0;100;0;100;241;100;113;100;116;100;12;100;0;100;400;100;372;100;28;100;0;100;0;100;3142;42;-744;2356
SE;7;2014;P;5607;100;132;100;0;100;0;100;2;100;7;100;123;100;0;100;1072;100;525;100;0;100;547;100;0;100;3547;100;3547;100;0;100;0;100;216;100;10358;0;-1631;8727
SE;8;2014;P;4599;100;101;100;0;100;6;100;3;100;8;100;84;100;0;100;1320;100;751;100;0;100;569;100;0;100;3835;100;3835;100;0;100;0;100;217;100;9855;0;-407;9448
CZ;9;2014;P;2500;100;3334;100;2639;100;343;100;337;100;3;100;0;100;12;100;564;100;33;100;187;100;150;100;194;100;308;100;231;100;77;100;0;100;64;100;6706;98;-1793;4815
SK;8;2014;P;1315;100;283;100;113;100;39;100;115;100;16;100;0;100;0;100;137;100;0;100;54;100;57;100;26;100;512;100;496;100;16;100;7;100;24;100;2254;21;-239;1994
CY;9;2014;P;0;100;382;100;0;100;0;100;0;100;382;100;0;100;0;100;18;100;18;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;0;100;400;0;0;400
HR;9;2014;P;0;100;125;100;0;100;88;100;37;100;0;100;0;100;0;100;52;100;52;100;0;100;0;100;0;100;771;100;771;100;0;100;0;100;38;100;948;7;373;1314
IT;7;2014;P;0;100;14205;100;0;100;2889;100;8340;100;1767;100;1209;100;0;100;5084;100;1272;100;2822;100;515;100;475;100;6145;100;5838;100;307;100;0;100;427;100;25434;100;3235;28569
NO;7;2014;P;0;100;319;100;0;100;0;100;319;100;0;100;0;100;0;100;76;100;76;100;0;100;0;100;0;100;9811;100;9811;100;0;100;0;100;702;100;10206;114;-2360;7732
FR;8;2014;P;30990;100;808;100;0;100;79;100;464;100;265;100;0;100;0;100;2266;100;977;100;694;100;595;100;0;100;5317;100;4863;100;454;100;0;100;541;100;39381;648;-7754;30979
PL;7;2014;P;0;100;10771;100;4478;100;5531;100;133;100;0;100;0;100;629;100;1025;100;418;100;1;100;570;100;36;100;259;100;203;100;56;100;0;100;136;100;12055;81;130;12104
LU;7;2014;D;0;100;14;100;0;100;0;100;14;100;0;100;0;100;0;100;16;100;4;100;8;100;4;100;0;100;76;100;3;100;73;100;7;100;2;100;113;102;522;533
EE;8;2014;P;0;100;748;100;0;100;0;100;0;100;0;100;0;100;748;100;105;100;42;100;0;100;63;100;0;100;1;100;1;100;0;100;0;100;27;100;854;0;-266;588
SI;8;2014;P;512;100;236;100;211;100;24;100;0;100;0;100;0;100;1;100;39;100;0;100;27;100;9;100;3;100;511;100;491;100;20;100;5;100;12;100;1303;27;-249;1027
