var,country,year,metric,window_days,corr_era5_rcp26,n_era5_rcp26,corr_era5_rcp45,n_era5_rcp45,corr_rcp26_rcp45,n_rcp26_rcp45,era5_roll_mean,era5_roll_std,rcp26_roll_mean,rcp26_roll_std,rcp45_roll_mean,rcp45_roll_std
rsds,DE,2010,corr_raw_full_year,,0.8804294176391274,2920,0.886895553714799,2920,0.9415182649874762,2920,,,,,,
rsds,DE,2010,corr_rolling_mean_full_year,2.0,0.8496105501990678,2920,0.8596147902091172,2920,0.8993519628522242,2920,124.6615800951082,80.74775813560682,141.13229398470762,85.29592813272451,141.2643576064334,82.23125163487238
rsds,DE,2010,corr_rolling_mean_full_year,5.0,0.8932287205858871,2920,0.9020268430216795,2920,0.9345951358683293,2920,124.6457640475817,78.26550759607385,141.11652845236554,83.5846738286101,141.24148989030903,80.62487755099824
rsds,DE,2010,corr_rolling_mean_full_year,7.0,0.9076857334594477,2920,0.9151463656319552,2920,0.9481788603893252,2920,124.64311502676985,77.54115865689211,141.11356846750724,82.9477520254887,141.23473339477565,80.05553865963898
rsds,DE,2010,corr_rolling_mean_full_year,14.0,0.9367853815990768,2920,0.9386018064537893,2920,0.9733771972113854,2920,124.69882097428183,76.10734814609424,141.11301555873237,81.70094805037256,141.15428677134304,79.06762938427534
rsds,DE,2010,corr_rolling_mean_full_year,30.0,0.961769643420392,2920,0.9628061406290112,2920,0.9882514658584548,2920,124.81281420864478,74.10573987769759,141.17266682832687,80.25922055521274,141.10711536564838,77.87740435661843
rsds,DK,2010,corr_raw_full_year,,0.8744486408675172,2920,0.8598471467498717,2920,0.8960184887457675,2920,,,,,,
rsds,DK,2010,corr_rolling_mean_full_year,2.0,0.88902893490358,2920,0.8530901441679567,2920,0.8744656460955966,2920,120.75218209875963,88.98740856130402,133.06980438626903,95.70114773403216,127.90012046263676,90.7284671806296
rsds,DK,2010,corr_rolling_mean_full_year,5.0,0.9407603081853448,2920,0.8988707708778553,2920,0.9245415130393793,2920,120.76807431282411,86.6955607667846,133.0765118224873,93.37141916546577,127.90650498074741,87.98563902841245
rsds,DK,2010,corr_rolling_mean_full_year,7.0,0.9572419036349084,2920,0.9180369505766117,2920,0.9396615246803943,2920,120.77068136834119,85.8445026766809,133.08279847885004,92.67069513628752,127.90770621213656,87.0488880127517
rsds,DK,2010,corr_rolling_mean_full_year,14.0,0.9799830444289492,2920,0.9502776284561691,2920,0.9630352425440007,2920,120.79061958446657,84.39113696314294,133.10371956844148,91.34654045830482,127.87108563827589,85.51270504402315
rsds,DK,2010,corr_rolling_mean_full_year,30.0,0.9914406950594438,2920,0.9775154421299267,2920,0.9840031660932341,2920,120.8128774808654,82.65561161408118,133.19254738575708,89.63937571334544,127.86644892365439,83.9814734807592
rsds,IT,2010,corr_raw_full_year,,0.9134488107514785,2920,0.9165109475451862,2920,0.9635217223948591,2920,,,,,,
rsds,IT,2010,corr_rolling_mean_full_year,2.0,0.9007297844267964,2920,0.9093441860154869,2920,0.8945645539096198,2920,169.12141948322548,82.52958392380738,182.1181545735757,77.42063247649935,179.59350395836856,80.4464061130534
rsds,IT,2010,corr_rolling_mean_full_year,5.0,0.9462179972298802,2920,0.945676855857915,2920,0.9297986825645542,2920,169.0774626318182,81.03739754578396,182.1952251943417,75.5154522172863,179.67403219288443,79.04997099563401
rsds,IT,2010,corr_rolling_mean_full_year,7.0,0.9621529433137169,2920,0.9569068787732443,2920,0.943230991951993,2920,169.06267169415537,80.62815718658962,182.21394061682358,74.87171344942027,179.71785179359472,78.49722683553172
rsds,IT,2010,corr_rolling_mean_full_year,14.0,0.9806204649685754,2920,0.9730983290767674,2920,0.9688137574276396,2920,169.11252427071287,79.87891579812054,182.2610079234647,73.86459941567442,179.77670504355177,77.28119177914625
rsds,IT,2010,corr_rolling_mean_full_year,30.0,0.9904806849229558,2920,0.9838894704027922,2920,0.9832010042204077,2920,169.01938003012896,78.98646046486445,182.21799388293525,72.81191545883746,179.8547806031104,75.81406086293767
rsds,CH,2010,corr_raw_full_year,,0.8489323621631558,2920,0.866144342397223,2920,0.9199119934278827,2920,,,,,,
rsds,CH,2010,corr_rolling_mean_full_year,2.0,0.7554539940596209,2920,0.8079125698899052,2920,0.8327560272986629,2920,147.80299478104791,77.47532601271803,160.86655957413643,78.30184287877631,168.29299022244064,84.25231795292879
rsds,CH,2010,corr_rolling_mean_full_year,5.0,0.8446689536504073,2920,0.8813787205302901,2920,0.9008270276449563,2920,147.78548619552933,73.3212780505076,160.84603747870682,74.58698918670139,168.29386466855146,81.4945996471413
rsds,CH,2010,corr_rolling_mean_full_year,7.0,0.8759399426585847,2920,0.9043164837713004,2920,0.921353016719962,2920,147.77896055121974,72.11261239821245,160.80935025295247,73.6133702518982,168.29596002476703,80.63945237772667
rsds,CH,2010,corr_rolling_mean_full_year,14.0,0.9299407712941605,2920,0.9453630258561245,2920,0.9616300151285233,2920,147.87292855858655,69.78526257884421,160.7334316576843,71.99331268396554,168.1954432175092,79.52309121830281
rsds,CH,2010,corr_rolling_mean_full_year,30.0,0.9694474692817603,2920,0.9770380944737584,2920,0.9840254000634152,2920,148.07957042701923,67.03817775812009,160.6311988741897,70.74319838415715,168.08249619789694,78.43872512085726
rsds,FR,2010,corr_raw_full_year,,0.9094408186034281,2920,0.9035773610448857,2920,0.9539327334588498,2920,,,,,,
rsds,FR,2010,corr_rolling_mean_full_year,2.0,0.8813533456311088,2920,0.8665925858995708,2920,0.9026273619300498,2920,150.10625164286924,82.64545699969432,149.84617960098868,74.04445383566596,157.2326675891483,83.2732767677318
rsds,FR,2010,corr_rolling_mean_full_year,5.0,0.9239550761288619,2920,0.9023932831665444,2920,0.937021086065201,2920,150.12189518194668,80.61246126911308,149.8415860822202,72.45446894550815,157.2202504722229,81.78507427892471
rsds,FR,2010,corr_rolling_mean_full_year,7.0,0.9413558397963717,2920,0.9196032077361032,2920,0.9486472817700872,2920,150.11889560191685,79.81171042982837,149.8154112641679,72.00715992783158,157.2300148881454,81.19145072387035
