,,2025,2025,2030,2030,2035,2035,2040,2040,2045,2045,2050,2050
,,min,max,min,max,min,max,min,max,min,max,min,max
country,carrier,,,,,,,,,,,,
ME,solar,,,,,14,1037,28,2074,28,2074,28,2074
MK,solar,63,77,394,2212,559.5,3279,725,4346,725,4346,725,4346
RS,solar,63,77,304,476,424.5,675,545,874,545,874,545,874
NO,solar,702,858,936,2492,1053,3308.5,1170,4125,5373,13227.5,9576,22330
AT,offwind-all,,,,,,,,,,,,
AL,offwind-all,,,,,,,,,,,,
BA,offwind-all,,,,,,,,,,,,
BE,offwind-all,2034,2486,5184,6336,6174,7546,7164,8756,7164,8756,7164,8756
BG,offwind-all,639,781,469,554,384,441,299,328,448,492.5,597,657
CH,offwind-all,,,,,,,,,,,,
CY,offwind-all,,,,,,,,,,,,
CZ,offwind-all,,,,,,,,,,,,
DE,offwind-all,9200,10142,30000,33573,47500,52569,65000,71565,67500,73282.5,70000,75000
DK,offwind-all,2385,2915,7426,131078,15976,136578,24526,142078,31726,142078,38926,142078
EE,offwind-all,,,,1100,1575,4400,3150,7700,4725,9350,6300,11000
ES,offwind-all,,,2520,3740,2520,7040,2520,10340,2520,14740,2520,19140
FI,offwind-all,,,900,7700,2655,23100,4410,38500,7605,55000,10800,71500
FR,offwind-all,1338,1636,3800,4500,15200,16914.5,26600,29329,35300,44664.5,44000,60000
GB,offwind-all,13230,16170,46771,58026,66206.5,82577,85642,107128,92321,117307.5,99000,127487
GR,offwind-all,,,2430,3751,5805,11060.5,9180,18370,12465,21395,15750,24420
HR,offwind-all,,,459,561,769.5,940.5,1080,1320,1890,2310,2700,3300
HU,offwind-all,,,,,,,,,,,,
IE,offwind-all,,,4523,5691,7255,13845.5,9987,22000,12237,30250,14487,38500
IT,offwind-all,27,33,7650,9818,12150,16101.5,16650,22385,16650,30635,16650,38885
LT,offwind-all,,,1260,1725,2520,3172.5,3780,4620,5310,6490,6840,8360
LU,offwind-all,,,,,,,,,,,,
LV,offwind-all,,,450,1100,675,1650,900,2200,3825,8800,6750,15400
ME,offwind-all,,,,,,,,,,,,
MK,offwind-all,,,,,,,,,,,,
MT,offwind-all,,,,55,,247.5,,440,,440,,440
NL,offwind-all,4023,4917,14888,25818,30188,40707.5,45488,55597,55388,67697,65288,79797
NO,offwind-all,9,11,2703,3304,5853,9627,9003,15950,9003,18150,9003,20350
PL,offwind-all,,,9004,11990,9407,17985,9810,23980,9810,31240,9810,38500
PT,offwind-all,18,22,1800,2200,5400,6600,9000,11000,9000,11000,9000,11000
RO,offwind-all,,,900,2200,900,2750,900,3300,900,3850,900,4400
RS,offwind-all,,,,,,,,,,,,
SE,offwind-all,171,209,540,10890,5940,20460,11340,30030,16740,54615,22140,79200
SI,offwind-all,,,,,,,,,,,,
SK,offwind-all,,,,,,,,,,,,

