var,country,year,metric,window_days,corr_era5_rcp26,n_era5_rcp26,corr_era5_rcp45,n_era5_rcp45,corr_rcp26_rcp45,n_rcp26_rcp45,era5_roll_mean,era5_roll_std,rcp26_roll_mean,rcp26_roll_std,rcp45_roll_mean,rcp45_roll_std
rsds,DE,2010,corr_raw_full_year,,0.887400411808973,2920,0.8973323439438836,2920,0.940996774630749,2920,,,,,,
rsds,DE,2010,corr_rolling_mean_full_year,2.0,0.8297259301641757,2920,0.846177308348664,2920,0.9029948162201826,2920,123.93494124225619,86.27027748882283,140.97753253734547,85.63783608810769,140.94676375210832,82.35414191274013
rsds,DE,2010,corr_rolling_mean_full_year,5.0,0.8825327482896874,2920,0.8942910534768576,2920,0.9370788489005275,2920,123.96116439191705,82.71376213084066,140.94597809202682,84.00724563893239,140.93523944821374,80.77103286387359
rsds,DE,2010,corr_rolling_mean_full_year,7.0,0.9001397157869317,2920,0.9086480950629849,2920,0.9502412724706114,2920,123.98023044389187,81.6247970031418,140.93692282621254,83.39745049270239,140.93247244251083,80.20833264380879
rsds,DE,2010,corr_rolling_mean_full_year,14.0,0.9347250728295957,2920,0.9351474150011271,2920,0.9741673003957263,2920,124.05200144577113,79.57486078620268,140.92331720427129,82.20637034295406,140.86074742648032,79.23505031813403
rsds,DE,2010,corr_rolling_mean_full_year,30.0,0.9639877484030716,2920,0.9648454701265882,2920,0.9884570610742658,2920,124.15568257778934,76.98651429591247,140.96995835536845,80.79337267133269,140.82168954424162,78.04144893532695
rsds,DK,2010,corr_raw_full_year,,0.8823096030404469,2920,0.8608694224888346,2920,0.8961269293404918,2920,,,,,,
rsds,DK,2010,corr_rolling_mean_full_year,2.0,0.8769407640859794,2920,0.836393272481309,2920,0.8772609505721315,2920,113.46229289409654,88.25823588330992,133.4962334264254,95.87894637347745,128.25797288767097,91.0582053208497
rsds,DK,2010,corr_rolling_mean_full_year,5.0,0.9342397383601859,2920,0.8888091122845735,2920,0.9265760804408409,2920,113.49125052039244,85.04601305639814,133.5187706934333,93.56184713528879,128.25885382320243,88.35823183359803
rsds,DK,2010,corr_rolling_mean_full_year,7.0,0.9538601055201441,2920,0.9114900697651945,2920,0.9415164791630604,2920,113.50842338986037,83.84031580902138,133.53165874286273,92.86499016633881,128.25828172411838,87.43234038646834
rsds,DK,2010,corr_rolling_mean_full_year,14.0,0.9809389543125802,2920,0.9504699844207057,2920,0.9644048250219667,2920,113.54772767891167,81.87801099053821,133.56711963051788,91.54626922343394,128.21790811784484,85.91642925069709
