country,year,total residential space,electricity residential space,total services space,electricity services space
AL,2000,0.0786106520234163,0.0262035506744721,0.03523777279349957,0.011745924264499857
AL,2001,0.1023091533221583,0.0341030511073861,0.04501635189921489,0.015005450633071632
AL,2002,0.08450302523289596,0.028167675077631987,0.037425559483196424,0.012475186494398808
AL,2003,0.11078292045716842,0.036927640152389474,0.047699874365109966,0.015899958121703323
AL,2004,0.07504644447595814,0.025015481491986045,0.03374096229923435,0.011246987433078117
AL,2005,0.08257592941745774,0.027525309805819246,0.035513397115444295,0.011837799038481431
AL,2006,0.09255160009512016,0.030850533365040053,0.04139902977412268,0.013799676591374226
AL,2007,0.10921988145023892,0.03640662715007964,0.05103364926182729,0.017011216420609095
AL,2008,0.12171820169670626,0.040572733898902084,0.056325709714204475,0.018775236571401493
AL,2009,0.09909776994083137,0.033032589980277124,0.047534866363975935,0.015844955454658645
AL,2010,0.14502820635833824,0.048342735452779416,0.065805679666104,0.021935226555368
AL,2011,0.11124527525423397,0.03708175841807799,0.04701246785391921,0.01567082261797307
AL,2012,0.1965139199663619,0.06550463998878729,0.08392081795740162,0.02797360598580054
AL,2013,0.17884774248636912,0.059615914162123036,0.08143136605393966,0.027143788684646553
AL,2014,0.12296674447721768,0.04098891482573923,0.05927054327123175,0.01975684775707725
AL,2015,0.13282519758496375,0.04427506586165458,0.06350323821955037,0.021167746073183457
AL,2016,0.16836257611863617,0.05612085870621206,0.07106157049530457,0.023687190165101523
AL,2017,0.18879525376598807,0.06293175125532936,0.07523372730676502,0.025077909102255005
AL,2018,0.16827412286554053,0.05609137428851351,0.08012924777704225,0.026709749259014082
AL,2019,0.231822150778543,0.07727405025951434,0.09922136048189416,0.03307378682729805
AL,2020,0.2006064167531615,0.06686880558438717,0.08287294141057354,0.027624313803524512
AL,2021,0.2071723025522564,0.06905743418408547,0.12048877790915759,0.040162925969719196
AT,2000,0.0019284289610488,0.0006428096536829333,0.22462057059857077,0.07487352353285692
AT,2001,0.002450699991231186,0.0008168999970770619,0.2248309001345563,0.07494363337818544
AT,2002,0.002826684413369107,0.0009422281377897023,0.23079454849122263,0.07693151616374087
AT,2003,0.005369846273982563,0.0017899487579941878,0.2562111768289232,0.08540372560964106
AT,2004,0.003563752679028981,0.001187917559676327,0.2284900661553406,0.07616335538511353
AT,2005,0.004078254358061732,0.0013594181193539107,0.23367796970976562,0.07789265656992188
AT,2006,0.005323029977206262,0.0017743433257354207,0.24631186458158458,0.0821039548605282
AT,2007,0.0056206480230094735,0.0018735493410031577,0.24900360809344455,0.08300120269781484
AT,2008,0.005242764139862188,0.0017475880466207294,0.23760110610928575,0.07920036870309526
AT,2009,0.00560077516098371,0.0018669250536612369,0.24345653970093337,0.08115217990031112
AT,2010,0.00652636111111111,0.0021754537037037033,0.2581574536129767,0.0860524845376589
AT,2011,0.006141422222222218,0.0020471407407407394,0.25213829698632756,0.08404609899544252
AT,2012,0.007127916666666667,0.0023759722222222225,0.260296922747857,0.08676564091595233
AT,2013,0.009052166666666667,0.003017388888888889,0.27433253458950374,0.09144417819650125
AT,2014,0.005759166666666668,0.0019197222222222226,0.23721478445463198,0.07907159481821066
AT,2015,0.01000027777777778,0.0033334259259259267,0.27384057264054357,0.09128019088018119
AT,2016,0.006100000000000006,0.0020333333333333353,0.23654442968562733,0.07884814322854244
AT,2017,0.007920000000000002,0.0026400000000000004,0.2496135717766435,0.08320452392554784
AT,2018,0.007603783333333323,0.002534594444444441,0.24464696344907613,0.0815489878163587
AT,2019,0.008356111111111116,0.002785370370370372,0.25169115038059714,0.08389705012686571
AT,2020,0.008205000000000002,0.002735000000000001,0.2300389836172239,0.07667966120574131
AT,2021,0.006935555555555554,0.0023118518518518514,0.23714477775962686,0.07904825925320895
BA,2000,0.06603598590434319,0.02201199530144773,0.04365351489583979,0.014551171631946596
BA,2001,0.055295674375823875,0.01843189145860796,0.039043638154273884,0.013014546051424629
BA,2002,0.057965919671613395,0.019321973223871133,0.044317765842957414,0.014772588614319139
BA,2003,0.11423471458184663,0.03807823819394888,0.07593652739885211,0.025312175799617368
BA,2004,0.0550250727265345,0.018341690908844833,0.04497692692363181,0.014992308974543936
BA,2005,0.06581578017249563,0.021938593390831877,0.04453468099994815,0.014844893666649385
BA,2006,0.11714898382207299,0.03904966127402433,0.062472863881462525,0.02082428796048751
BA,2007,0.15067346991243744,0.050224489970812476,0.07171190962007971,0.023903969873359906
BA,2008,0.14894155092021605,0.049647183640072014,0.06959239354751898,0.02319746451583966
BA,2009,0.1488669670922007,0.049622322364066905,0.07188499338367077,0.02396166446122359
BA,2010,0.18168509713492106,0.06056169904497369,0.07275162164883507,0.02425054054961169
BA,2011,0.2627135254552359,0.0875711751517453,0.0904949698662969,0.030164989955432302
BA,2012,0.2651447624063347,0.08838158746877824,0.129422801932501,0.04314093397750033
BA,2013,0.20156015731835877,0.06718671910611959,0.08157748658610808,0.027192495528702693
BA,2014,0.13358664107463553,0.04452888035821184,0.05686177557079309,0.018953925190264363
BA,2015,0.22707832154347474,0.07569277384782491,0.1022542290705691,0.03408474302352303
BA,2016,0.20082692299268087,0.06694230766422696,0.07375539561661582,0.024585131872205273
BA,2017,0.19880715436865282,0.0662690514562176,0.08639535295996248,0.02879845098665416
BA,2018,0.37801298289970686,0.12600432763323563,0.11939645959712561,0.03979881986570854
BA,2019,0.38821033386143144,0.12940344462047715,0.14598428193528848,0.048661427311762824
BA,2020,0.3980215913326015,0.13267386377753385,0.11806323046506557,0.039354410155021856
BA,2021,0.3885077867863052,0.12950259559543506,0.1396589384334077,0.04655297947780257
BE,2000,0.012369157419804674,0.004123052473268224,0.15210853060961294,0.050702843536537645
BE,2001,0.015331918116909295,0.005110639372303098,0.1894426228676195,0.06314754095587317
BE,2002,0.01822768426733206,0.006075894755777353,0.2424391196191724,0.08081303987305746
BE,2003,0.04858493960760227,0.016194979869200755,0.3548738438680463,0.11829128128934878
BE,2004,0.02206636162554198,0.007355453875180659,0.3223889033855584,0.10746296779518615
BE,2005,0.027374366965355883,0.009124788988451961,0.3826543424917553,0.12755144749725175
BE,2006,0.06113462244464335,0.020378207481547783,0.5527455836447883,0.1842485278815961
BE,2007,0.02884726993971478,0.009615756646571593,0.5029574275265779,0.16765247584219264
BE,2008,0.03465091698251956,0.011550305660839854,0.5582853879551413,0.18609512931838043
BE,2009,0.040284716007098965,0.013428238669032989,0.6217382001013737,0.2072460667004579
BE,2010,0.05771524573159932,0.01923841524386644,0.7226378348191652,0.24087927827305508
BE,2011,0.04634777298986848,0.015449257663289494,0.7191222698644303,0.23970742328814343
BE,2012,0.04811000092146209,0.016036666973820696,0.7506095197412034,0.2502031732470678
BE,2013,0.05145483000013319,0.017151610000044396,0.7858338975572761,0.261944632519092
BE,2014,0.04275292598309825,0.014250975327699417,0.7720668706600201,0.25735562355334
BE,2015,0.0653234043961353,0.021774468132045102,0.8712604609469281,0.29042015364897605
BE,2016,0.05999999999999999,0.019999999999999997,0.8520315612874955,0.28401052042916514
BE,2017,0.060000000000000046,0.020000000000000014,0.79697020038258,0.26565673346086
BE,2018,0.060000000000000046,0.020000000000000014,0.8973840905964874,0.2991280301988291
BE,2019,0.059999999999999984,0.019999999999999993,0.8568596778622636,0.28561989262075455
BE,2020,0.09129999999999996,0.030433333333333323,0.9152961228929941,0.30509870763099806
BE,2021,0.09129999999999992,0.03043333333333331,0.7420024673055067,0.24733415576850223
BG,2000,0.021837525254757715,0.007279175084919238,0.1434970488704459,0.047832349623481964
BG,2001,0.024755182840641283,0.008251727613547094,0.1424054789398556,0.04746849297995187
BG,2002,0.01729273961067371,0.005764246536891237,0.11178261835179246,0.03726087278393082
BG,2003,0.023865261901907034,0.007955087300635677,0.13627980624679453,0.045426602082264844
BG,2004,0.01423673137154169,0.00474557712384723,0.12134702735620312,0.04044900911873437
BG,2005,0.015798966342856175,0.005266322114285391,0.13228029654231024,0.04409343218077008
BG,2006,0.02438124992869895,0.008127083309566316,0.16576349060515733,0.05525449686838577
BG,2007,0.05659318626882881,0.018864395422942937,0.3328571662536773,0.11095238875122576
BG,2008,0.04250399931739288,0.014167999772464294,0.223345788738974,0.07444859624632467
BG,2009,0.04059262667548482,0.01353087555849494,0.20292825256192712,0.06764275085397571
BG,2010,0.06300220004224222,0.021000733347414074,0.25997872577583225,0.08665957525861075
BG,2011,0.04955217323483756,0.016517391078279185,0.2217592662953705,0.07391975543179016
BG,2012,0.1528010464191727,0.05093368213972423,0.46715768799770296,0.15571922933256765
BG,2013,0.07021575617838187,0.023405252059460622,0.22670084327792542,0.07556694775930847
BG,2014,0.06646904060628789,0.022156346868762628,0.2083318708565364,0.0694439569521788
BG,2015,0.11731805555555559,0.03910601851851853,0.29861775928348544,0.09953925309449514
BG,2016,0.11829888888888888,0.03943296296296296,0.27424378022612095,0.09141459340870699
BG,2017,0.12275805555555548,0.040919351851851825,0.2840832130695624,0.09469440435652081
BG,2018,0.10963,0.03654333333333334,0.2102139654031661,0.07007132180105537
BG,2019,0.11952111111111113,0.03984037037037038,0.23036646952764905,0.07678882317588302
BG,2020,0.12516805555555552,0.041722685185185175,0.22165155734302497,0.073883852447675
BG,2021,0.13175000000000034,0.04391666666666678,0.3057370792100777,0.10191235973669256
CH,2000,0.0018503505905419413,0.0006167835301806471,0.21552611677688632,0.07184203892562878
CH,2001,0.0023421118319060046,0.0007807039439686682,0.2148688592105793,0.0716229530701931
CH,2002,0.002678710159433092,0.0008929033864776974,0.2187126722959303,0.07290422409864343
CH,2003,0.005106092411993302,0.0017020308039977672,0.24362670347055948,0.08120890115685316
CH,2004,0.0035025578562993937,0.0011675192854331312,0.22456655901183772,0.07485551967061257
CH,2005,0.004035723228821492,0.0013452410762738306,0.23124099862906858,0.0770803328763562
CH,2006,0.004934704377979397,0.0016449014593264656,0.22834292530829295,0.07611430843609765
CH,2007,0.005987485636690865,0.0019958285455636215,0.2652550952915607,0.08841836509718691
CH,2008,0.005309913199311583,0.0017699710664371945,0.2406442891275845,0.08021476304252817
CH,2009,0.006018237149223638,0.0020060790497412125,0.2616029298330653,0.08720097661102177
CH,2010,0.006473247059375901,0.0021577490197919667,0.2560564683757845,0.0853521561252615
CH,2011,0.005207322807992796,0.0017357742693309322,0.2137885097550385,0.07126283658501283
CH,2012,0.006731335309119667,0.0022437784363732224,0.24581458354327615,0.08193819451442538
CH,2013,0.009187665615899569,0.0030625552052998563,0.27843892939486636,0.09281297646495545
CH,2014,0.0050675586726760405,0.001689186224225347,0.20872808651426092,0.06957602883808697
CH,2015,0.009013062040033283,0.0030043540133444274,0.24680735126898848,0.08226911708966282
CH,2016,0.005967881190332772,0.001989293730110924,0.2314211561637454,0.07714038538791514
CH,2017,0.0072337297561225955,0.002411243252040865,0.22798448506221577,0.07599482835407192
CH,2018,0.006838666897993312,0.0022795556326644373,0.22002982164147833,0.07334327388049278
CH,2019,0.007493560233710042,0.0024978534112366805,0.2257105931921944,0.07523686439739813
CH,2020,0.0067560250399579126,0.0022520083466526374,0.18941488525099726,0.06313829508366575
CH,2021,0.00595640599778185,0.001985468665927283,0.20366509434973998,0.06788836478324665
CY,2000,0.28354084928613255,0.09451361642871085,0.1971253437127211,0.06570844790424037
CY,2001,0.24163261990730733,0.08054420663576911,0.20006453822763845,0.06668817940921282
CY,2002,0.23104084584702383,0.07701361528234128,0.21874916787046597,0.07291638929015533
CY,2003,0.2644504000215199,0.08815013334050664,0.25508501952808477,0.08502833984269492
CY,2004,0.23542917148713804,0.07847639049571269,0.23117038191293074,0.07705679397097691
CY,2005,0.24432171868493816,0.08144057289497939,0.2266615662119653,0.07555385540398843
CY,2006,0.30558580914154976,0.10186193638051659,0.27148399601430695,0.09049466533810231
CY,2007,0.3854780020973994,0.1284926673657998,0.31399208226954584,0.10466402742318194
CY,2008,0.43728435024281503,0.14576145008093835,0.3282027013185966,0.1094009004395322
CY,2009,0.43390355197778796,0.14463451732592933,0.3326048503971795,0.11086828346572651
CY,2010,0.468098046552468,0.156032682184156,0.36593655567368744,0.12197885189122915
CY,2011,0.4088060556486307,0.13626868521621024,0.3255078537626898,0.1085026179208966
CY,2012,0.49759188262251425,0.1658639608741714,0.3966834981510899,0.13222783271702995
CY,2013,0.4097488997899431,0.1365829665966477,0.3297291864828405,0.1099097288276135
CY,2014,0.36110346531762383,0.12036782177254128,0.2872737815930988,0.0957579271976996
CY,2015,0.378150070450613,0.12605002348353767,0.304547213788738,0.10151573792957934
CY,2016,0.41721192882287533,0.13907064294095844,0.3437119242154531,0.11457064140515104
CY,2017,0.3917102312196328,0.13057007707321092,0.32451397266244786,0.10817132422081595
CY,2018,0.43785305555555665,0.14595101851851888,0.4144114658501691,0.13813715528338968
CY,2019,0.44292305555555533,0.14764101851851844,0.3566193265670084,0.11887310885566947
CY,2020,0.43339999999999945,0.1444666666666665,0.3748600992020199,0.1249533664006733
CY,2021,0.436178055555555,0.145392685185185,0.3386597842602513,0.1128865947534171
