country,year,sum_hdd,sum_cdd,sum_elec_space_heat,sum_elec_space_cool
AL,2007,148739652.33574688,42378987.40234524,0.4199919706507802,0.0534178435706886
AL,2008,148991785.8993582,39167256.75961521,0.5756629714936473,0.0593479704703034
AL,2009,146850779.27155626,36049507.759198874,0.6559588826717968,0.04887754543493569
AL,2011,157161428.404632,40337561.36609881,0.7207951454690276,0.0527525810360509
AL,2012,157822782.54993936,51510934.16887092,0.7784148381315352,0.09347824597458769
AL,2013,136643615.765184,36733194.85233173,1.4069500519469165,0.08675970284676951
AL,2014,126416240.7241433,28095381.494089983,1.2343885072318765,0.0607457625828164
AL,2015,146115419.86909077,46884193.74483729,1.1914306953869669,0.0654428119348379
AL,2017,146962377.84046474,46063384.34447986,1.1285286467872417,0.08800966035758429
AL,2018,126878434.21850932,38601033.37862125,1.194571085294101,0.0828011235475275
AL,2019,132907190.9193362,44666317.469336174,1.3187162565705453,0.1103478370868123
AT,2007,3013447110.075777,108726729.39233226,6.904640792119631,0.0848747520388179
AT,2008,3068123290.967048,90544487.63884968,7.418276040469256,0.0809479567497159
AT,2009,3175178503.662577,80157632.20060834,5.894486424862386,0.0830191049539723
AT,2011,3048961659.110486,89811451.70983592,6.540872124235001,0.0860932397361832
AT,2012,3182420598.496892,125634684.70050108,6.450774370939902,0.08914161313817451
AT,2013,3238331472.2316084,131906937.03205606,5.253128389319176,0.09446156708539001
AT,2014,2728150461.862071,69576156.12714359,4.836083573405371,0.0809913170404328
AT,2015,2930085274.824197,183981605.0304544,4.6707724831978945,0.09461361680610701
AT,2017,3140586053.2003493,140316743.38778234,4.428079577678386,0.0858445239255478
AT,2018,2844922492.5310516,144105041.29242483,4.714113668007293,0.0840835822608031
AT,2019,2892066672.8816166,161242573.77996865,4.811340021269636,0.086682420497236
BA,2007,442778249.03805596,68901523.84964581,1.5914446929346677,0.0741284598441723
BA,2008,433948895.8548192,61620809.59949137,1.630104870228057,0.0728446481559116
BA,2009,458456577.10479987,57875088.95492787,1.567347336052696,0.0735839868252904
BA,2011,477372106.80339164,69285835.4716936,1.604664702673643,0.1177361651071776
BA,2012,485318195.1084175,91170367.47789806,1.5847214382386783,0.1315225214462785
BA,2013,438509421.10941446,55298570.442695096,1.5558094634811528,0.0943792146348221
BA,2014,372157948.8615643,33762120.66958958,0.5519379622056609,0.0634828055484761
BA,2015,454277967.75443166,77558243.13889128,0.4763274593292917,0.1097775168713479
BA,2017,474760769.17463064,72424842.185235,0.5626852538492908,0.0950675024428717
BA,2018,422722974.1994858,52793701.86890286,0.5873271740029815,0.1658031474989441
BA,2019,412223777.122595,66814693.27147034,0.6286850230454107,0.1780648719322399
BE,2007,893289567.9137721,23784977.04039625,6.868757307398112,0.17726823248876408
BE,2008,1021422525.3195786,28734273.858861927,7.545712823620913,0.1976454349792202
BE,2009,1024070809.6822065,44528630.80920753,7.49467719629557,0.2206743053694908
BE,2011,876322578.2832572,27493031.76906479,6.061841446051741,0.2551566809514328
BE,2012,1047071668.1910758,39959210.309954524,6.192109751894163,0.2662398402208884
BE,2013,1159632579.2533822,56624242.32897377,6.228700752009043,0.2790962425191363
BE,2014,815987010.4998164,34916292.12088936,4.461574195033971,0.27160659888103944
BE,2015,948145837.7124028,61945746.23099139,4.248535278972362,0.3121946217810211
BE,2017,967754161.5266666,61181531.653089285,5.0624600879196695,0.28565673346086
BE,2018,954851191.9704041,105831238.09784499,5.1324454896865035,0.3191280301988291
BE,2019,933268570.3672023,72352831.60719942,5.575679876602494,0.3056198926207544
BG,2007,1692206290.7700539,463953730.0233625,2.556019272236159,0.12981678417416861
BG,2008,1732983700.909265,398203135.2570921,3.229976604907761,0.08861659601878881
BG,2009,1736000006.780065,352196124.3096286,3.113674214822651,0.0811736264124706
BG,2011,2039970868.7661042,373436382.5328294,4.168957184348788,0.09043714651006919
BG,2012,1906590873.7342608,545742428.6223472,3.3416549009686425,0.2066529114722918
BG,2013,1680847370.3354163,381995887.8062798,2.556903235309629,0.09897219981876901
BG,2014,1632371595.694683,304151574.64951164,2.342819805900829,0.09160030382094139
